Ontology ID,IFSAC Label,Bucket,,,,,Ontology ID,IFSAC Label,Bucket,,IFSAC Label,,,,,,
FOODON_03411292,Game,elk (food source),,,,,FOODON_03411292,Game,elk (food source),Elk,Game,,,,,,
FOODON_03411460,Game,pheasant (food source),,,,,FOODON_03411460,Game,pheasant (food source),Pheasant,Game,,,,,,
FOODON_03411323,Game,rabbit (food source),,,,,FOODON_03411323,Game,rabbit (food source),Rabbit,Game,,,,,,
FOODON_03411295,Game,snake (food source),,,,,FOODON_03411295,Game,snake (food source),Snake,Game,,,,,,
FOODON_00001143,Fungi,fungal food product,,,,,FOODON_00001143,Fungi,fungal food product,,Fungi,,,,,,
FOODON_03420183,Sprouts,sprout,,,,,FOODON_03420183,Sprouts,sprout,Sprouts,Sprouts,,,,,,
FOODON_00001901,root/underground (other),ginger food product,,,,,FOODON_00001901,Other root/Underground vegetable,ginger food product,Ginger,Other root/Underground vegetable,,,,,,
FOODON_00002310,root/underground (other),taro vegetable food product,,,,,FOODON_00002310,Other root/Underground vegetable,taro vegetable food product,Taro,Other root/Underground vegetable,,,,,,
FOODON_00001163,Solanaceous,solanaceous fruit food product,,,,,FOODON_00001163,Solanaceous,solanaceous fruit food product,,Solanaceous,,,,,,
FOODON_00001264,Legumes,legume food product,,,,,FOODON_00001264,Legumes,legume food product,,Legumes,,,,,,
FOODON_00002064,Seeded Vegetable (Other),okra vegetable food product,,,,,FOODON_00002064,Seeded vegetable (other),okra vegetable food product,Okra,Seeded vegetable (other),,,,,,
FOODON_03315081,Herbs,tea food product,,,,,FOODON_03315081,Herbs,tea food product,Teas,Herbs,,,,,,
FOODON_03411566,Vegetable Row Crop Leafy,leafy vegetable (food source),,,,,FOODON_03411566,Vegetable Row Crop leafy,leafy vegetable (food source),,Vegetable Row Crop leafy,,,,,,
FOODON_00001152,Melons,melon fruit food product,,,,,FOODON_00001152,Melons,melon fruit food product,,Melons,,,,,,
FOODON_00001158,Pome fruit,pomaceous fruit food product,,,,,FOODON_00001158,Pome fruit,pomaceous fruit food product,,Pome fruit,,,,,,
FOODON_03411539,Stone Fruit,stone fruit (food source),,,,,FOODON_03411539,Stone Fruit,stone fruit (food source),,Stone Fruit,,,,,,
FOODON_00001653,Small Fruit,blackberry food product,,,,,FOODON_00001653,Small Fruit,blackberry food product,,Small Fruit,,,,,,
FOODON_00001656,Small Fruit,blueberry food product,,,,,FOODON_00001656,Small Fruit,blueberry food product,,Small Fruit,,,,,,
FOODON_00001786,Small Fruit,cranberry food product,,,,,FOODON_00001786,Small Fruit,cranberry food product,,Small Fruit,,,,,,
FOODON_00001170,Small Fruit,grape fruit food product,,,,,FOODON_00001170,Small Fruit,grape fruit food product,,Small Fruit,,,,,,
FOODON_03415178,Small Fruit,kiwifruit plant (food source),,,,,FOODON_03415178,Small Fruit,kiwifruit plant (food source),,Small Fruit,,,,,,
FOODON_00002190,Small Fruit,raspberry food product,,,,,FOODON_00002190,Small Fruit,raspberry food product,,Small Fruit,,,,,,
FOODON_00002282,Small Fruit,strawberry food product,,,,,FOODON_00002282,Small Fruit,strawberry food product,,Small Fruit,,,,,,
FOODON_03316257,Tropical Fruit,banana (food product),,,,,FOODON_03316257,Tropical Fruit,banana (food product),,Tropical Fruit,,,,,,
FOODON_00002081,Tropical Fruit,papaya food product,,,,,FOODON_00002081,Tropical Fruit,papaya food product,,Tropical Fruit,,,,,,
FOODON_00002020,Tropical Fruit,mango food product,,,,,FOODON_00002020,Tropical Fruit,mango food product,,Tropical Fruit,,,,,,
FOODON_00002119,Tropical Fruit,pineapple food product,,,,,FOODON_00002119,Tropical Fruit,pineapple food product,,Tropical Fruit,,,,,,
FOODON_00001625,Sub-tropical Fruit,avocado vegetable food product,,,,,FOODON_00001625,Sub-tropical Fruit,avocado vegetable food product,,Sub-tropical Fruit,,,,,,
FOODON_00002071,Sub-tropical Fruit,orange food product,,,,,FOODON_00002071,Sub-tropical Fruit,orange food product,,Sub-tropical Fruit,,,,,,
FOODON_00001929,Sub-tropical Fruit,grapefruit food product,,,,,FOODON_00001929,Sub-tropical Fruit,grapefruit food product,,Sub-tropical Fruit,,,,,,
FOODON_00001995,Sub-tropical Fruit,lemon food product,,,,,FOODON_00001995,Sub-tropical Fruit,lemon food product,FOODON_00002099,Sub-tropical Fruit,,,,,,
FOODON_03315108,Sub-tropical Fruit,tangerine,,,,,FOODON_03315108,Sub-tropical Fruit,tangerine,FOODON_00001709,Sub-tropical Fruit,,,,,,
FOODON_00001990,Sub-tropical Fruit,kumquat food product,,,,,FOODON_00001990,Sub-tropical Fruit,kumquat food product,FOODON_00001185,Sub-tropical Fruit,,,,,,
