Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
hot water bottle,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
hourglass,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
ice bucket,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
ice pack,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
in box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
in tray,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
incinerator,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
inkwell,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
Jacuzzi,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
jam jar,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
jeroboam,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
jewel case,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
jiko,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
kettle,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
kiondo,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
kit,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
kitbag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
liposome,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
litter bin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
loving cup,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
magnum,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
manger,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
matchbox,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
measuring cup,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
measuring jug,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
mess tin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
methuselah,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
mixing bowl,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
money box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
Moses basket,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
nebuchadnezzar,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
nest box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
nosebag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
oceanarium,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
oilcan,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
out box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
out tray,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pack ,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
packing case,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
palliasse,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pan,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
paper plate,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
papoose,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pedal bin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pencil case,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pepper pot,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
percolator,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
phial,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
piggy bank,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pillar box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pisspot,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
plant pot,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
platter,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pocket,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pomander,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
postbox,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
potty,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
propagator,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
pudding basin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
punchbag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
punchbowl,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
punching bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
punnet,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
ramekin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
red box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
rehoboam,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
reliquary,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
reticule,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sack,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
safe deposit box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
safety deposit box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
salt cellar,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
salver,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
samovar,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sandbag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
satchel,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sauce boat,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
saucepan,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
scrotum,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
scuttle,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
septic tank,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
shoulder bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sick bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
side plate,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
skillet,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sleeping bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
slow cooker,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
snuffbox,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
soda siphon,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
solar cooker,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
spittoon,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sponge bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sporran,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
spray can,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
stein,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
stink bomb,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
stockpot,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
stoneware,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
stoup,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
strongbox,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
sufuria,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tankard,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tea bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tea caddy,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tea chest,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
teacup,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
teakettle,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
teapot,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
terrarium,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
Thermos,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tidy,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
time capsule,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tinny,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
toilet bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
toiletry bag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
toolbox,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
trash can,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tray,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
trencher,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
trug,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tun,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
tureen,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
vacuum flask,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
valise,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
vase,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
vat,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
vial,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
vivarium,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
warming pan,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
washbag,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
washtub,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
waste bin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
waste paper basket,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
wastebasket,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
water butt,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
water wings,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
watering can,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
wheelbarrow,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
wheelie bin,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
window box,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
wok,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
work basket,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
workbox,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
wormery,NCIT_C43186,,Container-Or-Receptacle-Or-Enclosure,,,,,,,,,,
and,CoordConjunction-Addition,,CoordConjunction-Addition,,,,,,,,,,
plus,CoordConjunction-Addition,,CoordConjunction-Addition,,,,,,,,,,
or,CoordConjunction-Alternative,,CoordConjunction-Alternative,,,,,,,,,,
but,CoordConjunction-Contrast,,CoordConjunction-Contrast,,,,,,,,,,
so,CoordConjunction-Effect,,CoordConjunction-Effect,,,,,,,,,,
for,CoordConjunction-Purpose,,CoordConjunction-Purpose,,,,,,,,,,
used for,CoordConjunction-Purpose,,CoordConjunction-Purpose,,,,,,,,,,
cadaver,UBERON_0008979,,DeadBody,,,,,,,,,,
carcass,UBERON_0008979,,DeadBody,,,,,,,,,,
corpse,UBERON_0008979,,DeadBody,,,,,,,,,,
stiff,UBERON_0008979,,DeadBody,,,,,,,,,,
Antarctic,EarthRelated,,EarthRelated,,,,,,,,,,
Arctic,EarthRelated,,EarthRelated,,,,,,,,,,
Gaia,EarthRelated,,EarthRelated,,,,,,,,,,
Occident,EarthRelated,,EarthRelated,,,,,,,,,,
Oceania,EarthRelated,,EarthRelated,,,,,,,,,,
Orient,EarthRelated,,EarthRelated,,,,,,,,,,
subtropics,EarthRelated,,EarthRelated,,,,,,,,,,
temperate zone,EarthRelated,,EarthRelated,,,,,,,,,,
torrid zone,EarthRelated,,EarthRelated,,,,,,,,,,
accelerometer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
accordion,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
accoutrements,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
adjustable spanner,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
adze,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
aerial,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
afterburner,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
agogo,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
air conditioner,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
air conditioning,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
air freshener,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
air pump,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
airbag,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
airbrush,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
alarm clock,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Allen key,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
alpenhorn,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
alphorn,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
alternator,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
altimeter,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
ammeter,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
amplifier,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
anemometer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
angle grinder,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
annunciator,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
answering machine,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
answerphone,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
appliance,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
applicator,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
aqualung,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
arc lamp,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Armalite,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
army surplus,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
aspirator,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
astrolabe,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
ATM,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
atomic clock,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
ATP,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
attenuator,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
auger,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
autochanger,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Autocue,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
autoharp,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
automated teller machine,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
automatic pilot,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
automatic transmission,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
autopilot,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
awl,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
baby grand,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bagpipes,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
balafon,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
balalaika,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
baler,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
ballcock,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
balloon whisk,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
ballpoint,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bandsaw,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
banjo,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
barograph,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
barrel organ,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bass drum,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
basset horn,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bassoon,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bayonet,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
beeper,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bellows,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
belt,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bifocals,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
billhook,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
binoculars,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Biro,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bleeper,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
blender,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
block and tackle,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
blowlamp,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
blowtorch,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bobbin,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bodhrÃ¡n,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bolometer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bombsight,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bongo,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
boom box,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bottle opener,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bouzouki,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bowie knife,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
brace and bit,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bradawl,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
branding iron,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
breast pump,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
breathalyser,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
broom,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
brush,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bubblejet printer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bugle,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Bulldog clip,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
bullhorn,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
Bunsen burner,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
burglar alarm,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
butter knife,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
button lift,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
buzz saw,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
buzzer,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
CAD,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
calculator,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
calorimeter,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
camcorder,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
camera,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
camera obscura,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
can opener,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
capacitor,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
car phone,Equipment-OR-Device-OR-ManmadeObject,,Equipment-OR-Device-OR-ManmadeObject,,,,,,,,,,
