Term,Expansion,,Expansion,,Abbreviation,HP_0045077,abbreviation,,,,,,
between,LocationContextual,,LocationContextual,,,,,,,,,,
bight,LocationContextual,,LocationContextual,,,,,,,,,,
borehole,LocationContextual,,LocationContextual,,,,,,,,,,
bottom,LocationContextual,,LocationContextual,,,,,,,,,,
caldera,LocationContextual,,LocationContextual,,,,,,,,,,
camber,LocationContextual,,LocationContextual,,,,,,,,,,
campground,LocationContextual,,LocationContextual,,,,,,,,,,
cat flap,LocationContextual,,LocationContextual,,,,,,,,,,
cave,LocationContextual,,LocationContextual,,,,,,,,,,
cavern,LocationContextual,,LocationContextual,,,,,,,,,,
chicane,LocationContextual,,LocationContextual,,,,,,,,,,
clearing,LocationContextual,,LocationContextual,,,,,,,,,,
cleft,LocationContextual,,LocationContextual,,,,,,,,,,
colliery,LocationContextual,,LocationContextual,,,,,,,,,,
combustion chamber,LocationContextual,,LocationContextual,,,,,,,,,,
confines,LocationContextual,,LocationContextual,,,,,,,,,,
courtyard,LocationContextual,,LocationContextual,,,,,,,,,,
crack,LocationContextual,,LocationContextual,,,,,,,,,,
cranny,LocationContextual,,LocationContextual,,,,,,,,,,
crevasse,LocationContextual,,LocationContextual,,,,,,,,,,
crevice,LocationContextual,,LocationContextual,,,,,,,,,,
demarcation,LocationContextual,,LocationContextual,,,,,,,,,,
dog leg,LocationContextual,,LocationContextual,,,,,,,,,,
doorway,LocationContextual,,LocationContextual,,,,,,,,,,
down,LocationContextual,,LocationContextual,,,,,,,,,,
drey,LocationContextual,,LocationContextual,,,,,,,,,,
drive bay,LocationContextual,,LocationContextual,,,,,,,,,,
earhole,LocationContextual,,LocationContextual,,,,,,,,,,
elbow room,LocationContextual,,LocationContextual,,,,,,,,,,
embrasure,LocationContextual,,LocationContextual,,,,,,,,,,
esplanade,LocationContextual,,LocationContextual,,,,,,,,,,
eyelet,LocationContextual,,LocationContextual,,,,,,,,,,
f hole,LocationContextual,,LocationContextual,,,,,,,,,,
field of vision,LocationContextual,,LocationContextual,,,,,,,,,,
fireplace,LocationContextual,,LocationContextual,,,,,,,,,,
firmament,LocationContextual,,LocationContextual,,,,,,,,,,
first base,LocationContextual,,LocationContextual,,,,,,,,,,
fissure,LocationContextual,,LocationContextual,,,,,,,,,,
fistula,LocationContextual,,LocationContextual,,,,,,,,,,
follicle,LocationContextual,,LocationContextual,,,,,,,,,,
fontanelle,LocationContextual,,LocationContextual,,,,,,,,,,
forecourt,LocationContextual,,LocationContextual,,,,,,,,,,
foxhole,LocationContextual,,LocationContextual,,,,,,,,,,
fumarole,LocationContextual,,LocationContextual,,,,,,,,,,
gill,LocationContextual,,LocationContextual,,,,,,,,,,
grotto,LocationContextual,,LocationContextual,,,,,,,,,,
hairpin bend,LocationContextual,,LocationContextual,,,,,,,,,,
herbaceous border,LocationContextual,,LocationContextual,,,,,,,,,,
houseroom,LocationContextual,,LocationContextual,,,,,,,,,,
inglenook,LocationContextual,,LocationContextual,,,,,,,,,,
inside,LocationContextual,,LocationContextual,,,,,,,,,,
interstice,LocationContextual,,LocationContextual,,,,,,,,,,
junction,LocationContextual,,LocationContextual,,,,,,,,,,
kerbside,LocationContextual,,LocationContextual,,,,,,,,,,
keyhole,LocationContextual,,LocationContextual,,,,,,,,,,
legroom,LocationContextual,,LocationContextual,,,,,,,,,,
line of sight,LocationContextual,,LocationContextual,,,,,,,,,,
maidan,LocationContextual,,LocationContextual,,,,,,,,,,
mail slot,LocationContextual,,LocationContextual,,,,,,,,,,
manhole,LocationContextual,,LocationContextual,,,,,,,,,,
Mason Dixon Line,LocationContextual,,LocationContextual,,,,,,,,,,
mineshaft,LocationContextual,,LocationContextual,,,,,,,,,,
mortise,LocationContextual,,LocationContextual,,,,,,,,,,
nostril,LocationContextual,,LocationContextual,,,,,,,,,,
ocean trench,LocationContextual,,LocationContextual,,,,,,,,,,
oil well,LocationContextual,,LocationContextual,,,,,,,,,,
on,LocationContextual,,LocationContextual,,,,,,,,,,
orifice,LocationContextual,,LocationContextual,,,,,,,,,,
orphanage,LocationContextual,,LocationContextual,,,,,,,,,,
outside,LocationContextual,,LocationContextual,,,,,,,,,,
peephole,LocationContextual,,LocationContextual,,,,,,,,,,
personal space,LocationContextual,,LocationContextual,,,,,,,,,,
pinhole,LocationContextual,,LocationContextual,,,,,,,,,,
plughole,LocationContextual,,LocationContextual,,,,,,,,,,
priest's hole,LocationContextual,,LocationContextual,,,,,,,,,,
root canal,LocationContextual,,LocationContextual,,,,,,,,,,
S bend,LocationContextual,,LocationContextual,,,,,,,,,,
sandpit,LocationContextual,,LocationContextual,,,,,,,,,,
seam,LocationContextual,,LocationContextual,,,,,,,,,,
sett,LocationContextual,,LocationContextual,,,,,,,,,,
shoplot,LocationContextual,,LocationContextual,,,,,,,,,,
sinkhole,LocationContextual,,LocationContextual,,,,,,,,,,
sky,LocationContextual,,LocationContextual,,,,,,,,,,
slit,LocationContextual,,LocationContextual,,,,,,,,,,
spyhole,LocationContextual,,LocationContextual,,,,,,,,,,
stairwell,LocationContextual,,LocationContextual,,,,,,,,,,
standing room,LocationContextual,,LocationContextual,,,,,,,,,,
stowage,LocationContextual,,LocationContextual,,,,,,,,,,
surface,LocationContextual,,LocationContextual,,,,,,,,,,
swallow hole,LocationContextual,,LocationContextual,,,,,,,,,,
syncline,LocationContextual,,LocationContextual,,,,,,,,,,
tear,LocationContextual,,LocationContextual,,,,,,,,,,
thumb index,LocationContextual,,LocationContextual,,,,,,,,,,
turning,LocationContextual,,LocationContextual,,,,,,,,,,
under,LocationContextual,,LocationContextual,,,,,,,,,,
up,LocationContextual,,LocationContextual,,,,,,,,,,
virtual memory,LocationContextual,,LocationContextual,,,,,,,,,,
visual field,LocationContextual,,LocationContextual,,,,,,,,,,
void,LocationContextual,,LocationContextual,,,,,,,,,,
wheel arch,LocationContextual,,LocationContextual,,,,,,,,,,
wishing well,LocationContextual,,LocationContextual,,,,,,,,,,
abdominal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
abscess,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
Achilles tendon,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
adductor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
adenoids,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
adrenal gland,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
alimentary canal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
allele,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ankle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
antler,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
anus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
aorta,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
areola,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
armpit,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
arteriole,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
articulator,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
axon,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
baby fat,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
baby tooth,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
back passage,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ball and socket joint,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bazoom,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
beer belly,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
behind,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
biceps,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
big toe,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bikini line,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bile duct,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
birthmark,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
blood vessel,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bloodstream,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
blotch,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
blubber,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bow legs,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
brainstem,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
breastbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bristols,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
Broca's area,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
bronchus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
buck teeth,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
butterfat,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
buttock,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
callus,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
canker sore,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
capillary,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
carotid artery,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
carpal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
carrion,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cartilage,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cauliflower ear,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cellulite,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
central nervous system,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cerebellum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cerebrum,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cheekbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
chemoreceptor,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
chin,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
chitterlings,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
ciliary muscle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
clavicle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
claw,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
clitoris,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cloacal,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cloven hoof,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
club foot,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
coccyx,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cochlea,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
collarbone,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
collective unconscious,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
compound eye,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
conk,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
copra,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
coronary artery,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
corpuscle,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
cortex,FOODON_03420116,,BodyPart-OR-OrganicPart,,,,,,,,,,
