Synonym,Standard Term,Term Id,Synonyms Type
celery,Apium graveolens Dulce Group,NCBITaxon_117781,Exact Synonym
softnose skates,Arhynchobatidae,NCBITaxon_117867,Exact Synonym
rays,Batoidea,NCBITaxon_117893,Exact Synonym
sleeper sharks,Dalatiidae,NCBITaxon_117914,Exact Synonym
sleeper sharks,Somniosidae,NCBITaxon_117916,Exact Synonym
common pike conger,Muraenesox bagio,NCBITaxon_118162,Exact Synonym
duckbill eels,Nettastomatidae,NCBITaxon_118175,Exact Synonym
sharks,Selachii,NCBITaxon_119203,Exact Synonym
cassia-bark,Cinnamomum aromaticum,NCBITaxon_119260,Exact Synonym
Chinese cinnamon,Cinnamomum aromaticum,NCBITaxon_119260,Exact Synonym
Batavia cinnamon,Cinnamomum burmannii,NCBITaxon_119261,Exact Synonym
black-headed gull,Chroicocephalus ridibundus,NCBITaxon_1192867,Exact Synonym
Lachmoewe,Chroicocephalus ridibundus,NCBITaxon_1192867,Exact Synonym
mandarin fish,Siniperca chuatsi,NCBITaxon_119488,Exact Synonym
Chinese perch,Siniperca chuatsi,NCBITaxon_119488,Exact Synonym
Chinese bass,Siniperca chuatsi,NCBITaxon_119488,Exact Synonym
Chautsi bass,Siniperca chuatsi,NCBITaxon_119488,Exact Synonym
sheepshead seabream,Archosargus probatocephalus,NCBITaxon_119682,Exact Synonym
Calamus,Calamus <perciform>,NCBITaxon_119695,Exact Synonym
turkey berry,Solanum torvum,NCBITaxon_119830,Exact Synonym
pokak,Solanum torvum,NCBITaxon_119830,Exact Synonym
pea eggplant,Solanum torvum,NCBITaxon_119830,Exact Synonym
devil's fig,Solanum torvum,NCBITaxon_119830,Exact Synonym
berenjena cimarrona,Solanum torvum,NCBITaxon_119830,Exact Synonym
pitanga,Eugenia uniflora,NCBITaxon_119951,Exact Synonym
nagapiry,Eugenia uniflora,NCBITaxon_119951,Exact Synonym
Surinam-cherry,Eugenia uniflora,NCBITaxon_119951,Exact Synonym
Brazil-cherry,Eugenia uniflora,NCBITaxon_119951,Exact Synonym
guava,Psidium guajava,NCBITaxon_120290,Exact Synonym
