Synonym,Standard Term,Term Id,Synonyms Type
fetid currant,Ribes glandulosum,NCBITaxon_175226,Exact Synonym
red currant,Ribes rubrum,NCBITaxon_175228,Exact Synonym
northern red currant,Ribes rubrum,NCBITaxon_175228,Exact Synonym
gray weakfish,Cynoscion regalis,NCBITaxon_175273,Exact Synonym
Northern Brushtail Possum,Trichosurus arnhemensis,NCBITaxon_175811,Exact Synonym
dragon fruit,Hylocereus undatus,NCBITaxon_176265,Exact Synonym
African threadfish,Alectis alexandrina,NCBITaxon_179358,Exact Synonym
African pompano,Alectis ciliaris,NCBITaxon_179359,Exact Synonym
rough scad,Trachurus lathami,NCBITaxon_179371,Exact Synonym
dogtooth grouper,Epinephelus caninus,NCBITaxon_179534,Exact Synonym
dusky grouper,Epinephelus marginatus,NCBITaxon_179535,Exact Synonym
white grouper,Epinephelus aeneus,NCBITaxon_179536,Exact Synonym
whortleberry,Vaccinium myrtillus,NCBITaxon_180763,Exact Synonym
bilberry,Vaccinium myrtillus,NCBITaxon_180763,Exact Synonym
red-huckleberry,Vaccinium parvifolium,NCBITaxon_180766,Exact Synonym
lingenberry,Vaccinium vitis-idaea,NCBITaxon_180772,Exact Synonym
cowberry,Vaccinium vitis-idaea,NCBITaxon_180772,Exact Synonym
pigeonweed,Buglossoides arvensis,NCBITaxon_181181,Exact Synonym
corn gromwell,Buglossoides arvensis,NCBITaxon_181181,Exact Synonym
sapistan,Cordia myxa,NCBITaxon_181185,Exact Synonym
Sudan teak,Cordia myxa,NCBITaxon_181185,Exact Synonym
Assyrian-plum,Cordia myxa,NCBITaxon_181185,Exact Synonym
Assyrian plum,Cordia myxa,NCBITaxon_181185,Exact Synonym
black oreo,Allocyttus niger,NCBITaxon_181445,Exact Synonym
benjamin-tree,Ficus benjamina,NCBITaxon_182105,Exact Synonym
Java fig,Ficus benjamina,NCBITaxon_182105,Exact Synonym
sycamore fig,Ficus sycomorus,NCBITaxon_182129,Exact Synonym
mulberry fig,Ficus sycomorus,NCBITaxon_182129,Exact Synonym
noodlefishes,Salangidae,NCBITaxon_182234,Exact Synonym
icefishes,Salangidae,NCBITaxon_182234,Exact Synonym
starry ray,Raja asterias,NCBITaxon_182852,Exact Synonym
brown ray,Raja miraletus,NCBITaxon_182853,Exact Synonym
longnosed skate,Dipturus oxyrinchus,NCBITaxon_182854,Exact Synonym
undulate ray,Raja undulata,NCBITaxon_182855,Exact Synonym
sunset-hibiscus,Abelmoschus manihot,NCBITaxon_183220,Exact Synonym
mbele,Abelmoschus manihot,NCBITaxon_183220,Exact Synonym
aibika,Abelmoschus manihot,NCBITaxon_183220,Exact Synonym
sereni,Hibiscus sabdariffa,NCBITaxon_183260,Exact Synonym
roselle,Hibiscus sabdariffa,NCBITaxon_183260,Exact Synonym
red-sorrel,Hibiscus sabdariffa,NCBITaxon_183260,Exact Synonym
American fourspot flounder,Hippoglossina oblonga,NCBITaxon_183651,Exact Synonym
sheephead,Peprilus triacanthus,NCBITaxon_183653,Exact Synonym
pumpkin scad,Peprilus triacanthus,NCBITaxon_183653,Exact Synonym
dollar fish,Peprilus triacanthus,NCBITaxon_183653,Exact Synonym
American butterfish,Peprilus triacanthus,NCBITaxon_183653,Exact Synonym
red hake,Urophycis chuss,NCBITaxon_183656,Exact Synonym
white hake,Urophycis tenuis,NCBITaxon_183657,Exact Synonym
pipinela,Sechium edule,NCBITaxon_184140,Exact Synonym
christophine,Sechium edule,NCBITaxon_184140,Exact Synonym
chayote,Sechium edule,NCBITaxon_184140,Exact Synonym
American sand lance,Ammodytes americanus,NCBITaxon_184215,Exact Synonym
black seabass,Centropristis striata,NCBITaxon_184440,Exact Synonym
southern rock bass,Paralabrax callaensis,NCBITaxon_184445,Exact Synonym
giant sea bass,Stereolepis gigas,NCBITaxon_184449,Exact Synonym
chain pickerel,Esox niger,NCBITaxon_184451,Exact Synonym
European anchovy,Engraulis encrasicolus,NCBITaxon_184585,Exact Synonym
ispaghul,Plantago ovata,NCBITaxon_185002,Exact Synonym
blond psyllium,Plantago ovata,NCBITaxon_185002,Exact Synonym
grass pickerel,Esox americanus vermiculatus,NCBITaxon_185430,Exact Synonym
American potatobean,Apios americana,NCBITaxon_185702,Exact Synonym
Arctic cod,Arctogadus glacialis,NCBITaxon_185735,Exact Synonym
blue ling,Molva dipterygia,NCBITaxon_185738,Exact Synonym
pollack,Pollachius pollachius,NCBITaxon_185739,Exact Synonym
blue jack mackerel,Trachurus picturatus,NCBITaxon_189389,Exact Synonym
northern dewberry,Rubus flagellaris,NCBITaxon_190224,Exact Synonym
American dewberry,Rubus flagellaris,NCBITaxon_190224,Exact Synonym
bog blueberry,Vaccinium uliginosum,NCBITaxon_190548,Exact Synonym
bog bilberry,Vaccinium uliginosum,NCBITaxon_190548,Exact Synonym
water mint,Mentha aquatica,NCBITaxon_190902,Exact Synonym
curlew-berry,Empetrum nigrum,NCBITaxon_191066,Exact Synonym
crakeberry,Empetrum nigrum,NCBITaxon_191066,Exact Synonym
black crowberry,Empetrum nigrum,NCBITaxon_191066,Exact Synonym
black-bellied angler,Lophius budegassa,NCBITaxon_191678,Exact Synonym
Greenland sleeper shark,Somniosus microcephalus,NCBITaxon_191813,Exact Synonym
Greenland shark,Somniosus microcephalus,NCBITaxon_191813,Exact Synonym
Inca scad,Trachurus murphyi,NCBITaxon_192602,Exact Synonym
scarlet firethorn,Pyracantha coccinea,NCBITaxon_193309,Exact Synonym
sea-buckthorn,Hippophae rhamnoides,NCBITaxon_193516,Exact Synonym
sea buckthorn,Hippophae rhamnoides,NCBITaxon_193516,Exact Synonym
sallowthorn,Hippophae rhamnoides,NCBITaxon_193516,Exact Synonym
breadfruit,Artocarpus altilis,NCBITaxon_194251,Exact Synonym
giant manta,Manta birostris,NCBITaxon_195310,Exact Synonym
great hammerhead,Sphyrna mokarran,NCBITaxon_195334,Exact Synonym
smooth hammerhead,Sphyrna zygaena,NCBITaxon_195335,Exact Synonym
Petrale sole,Eopsetta jordani,NCBITaxon_195609,Exact Synonym
Rex sole,Glyptocephalus zachirus,NCBITaxon_195612,Exact Synonym
Pacific halibut,Hippoglossus stenolepis,NCBITaxon_195615,Exact Synonym
butter sole,Isopsetta isolepis,NCBITaxon_195617,Exact Synonym
rock sole,Lepidopsetta bilineata,NCBITaxon_195623,Exact Synonym
yellowfin sole,Limanda aspera,NCBITaxon_195624,Exact Synonym
slender sole,Lyopsetta exilis,NCBITaxon_195626,Exact Synonym
starry flounder,Platichthys stellatus,NCBITaxon_195632,Exact Synonym
Pacific sand sole,Psettichthys melanostictus,NCBITaxon_195639,Exact Synonym
Indian spiny turbot,Psettodes erumei,NCBITaxon_195640,Exact Synonym
Kamchatka flounder,Atheresthes evermanni,NCBITaxon_195645,Exact Synonym
hogchoker,Trinectes maculatus,NCBITaxon_195658,Exact Synonym
round sardinella,Sardinella aurita,NCBITaxon_196071,Exact Synonym
Madeiran sardinella,Sardinella maderensis,NCBITaxon_196072,Exact Synonym
European sprat,Sprattus sprattus,NCBITaxon_196075,Exact Synonym
oxeye scad,Selar boops,NCBITaxon_197574,Exact Synonym
sand plantain,Plantago arenaria,NCBITaxon_197794,Exact Synonym
French psyllium,Plantago arenaria,NCBITaxon_197794,Exact Synonym
red deepsea crab,Chaceon quinquedens,NCBITaxon_198537,Exact Synonym
mammee-apple,Mammea americana,NCBITaxon_198777,Exact Synonym
mamey,Mammea americana,NCBITaxon_198777,Exact Synonym
valerian family,Valerianaceae,NCBITaxon_19944,Exact Synonym
garden heliotrope,Valeriana officinalis,NCBITaxon_19953,Exact Synonym
common valerian,Valeriana officinalis,NCBITaxon_19953,Exact Synonym
ebony family,Ebenaceae,NCBITaxon_19955,Exact Synonym
lesser galangal,Alpinia officinarum,NCBITaxon_199623,Exact Synonym
Chinese-ginger,Alpinia officinarum,NCBITaxon_199623,Exact Synonym
eubacteria,Bacteria,NCBITaxon_2,Exact Synonym
sweet trefoil,Trigonella caerulea,NCBITaxon_200963,Exact Synonym
one-flower vetch,Vicia articulata,NCBITaxon_200967,Exact Synonym
wax-dolls,Fumaria officinalis,NCBITaxon_200993,Exact Synonym
earth-smoke,Fumaria officinalis,NCBITaxon_200993,Exact Synonym
common fumitory,Fumaria officinalis,NCBITaxon_200993,Exact Synonym
langsat,Lansium domesticum,NCBITaxon_201017,Exact Synonym
duku,Lansium domesticum,NCBITaxon_201017,Exact Synonym
taimen,Hucho taimen,NCBITaxon_201498,Exact Synonym
hogfish,Lachnolaimus maximus,NCBITaxon_202590,Exact Synonym
sacred garlic-pear,Crateva religiosa,NCBITaxon_202634,Exact Synonym
bidasi,Crateva religiosa,NCBITaxon_202634,Exact Synonym
barna,Crateva religiosa,NCBITaxon_202634,Exact Synonym
rose-root,Rhodiola rosea,NCBITaxon_203015,Exact Synonym
greasy grouper,Epinephelus tauvina,NCBITaxon_203262,Exact Synonym
hoary basil,Ocimum americanum,NCBITaxon_204141,Exact Synonym
American basil,Ocimum americanum,NCBITaxon_204141,Exact Synonym
holy basil,Ocimum tenuiflorum,NCBITaxon_204149,Exact Synonym
yam-bean,Pachyrhizus ahipa,NCBITaxon_205478,Exact Synonym
ajipo,Pachyrhizus ahipa,NCBITaxon_205478,Exact Synonym
ajipa,Pachyrhizus ahipa,NCBITaxon_205478,Exact Synonym
yam-bean,Pachyrhizus tuberosus,NCBITaxon_205481,Exact Synonym
jiquima,Pachyrhizus tuberosus,NCBITaxon_205481,Exact Synonym
jicama,Pachyrhizus tuberosus,NCBITaxon_205481,Exact Synonym
shum,Solanum aethiopicum,NCBITaxon_205524,Exact Synonym
scarlet eggplant,Solanum aethiopicum,NCBITaxon_205524,Exact Synonym
kumba,Solanum aethiopicum,NCBITaxon_205524,Exact Synonym
gilo,Solanum aethiopicum,NCBITaxon_205524,Exact Synonym
mamoncillo,Solanum caripense,NCBITaxon_205537,Exact Synonym
lloron,Solanum caripense,NCBITaxon_205537,Exact Synonym
melon-pear,Solanum muricatum,NCBITaxon_205567,Exact Synonym
mataserrano,Solanum muricatum,NCBITaxon_205567,Exact Synonym
Peruvian pepino,Solanum muricatum,NCBITaxon_205567,Exact Synonym
tub gurnard,Chelidonichthys lucernus,NCBITaxon_206130,Exact Synonym
blue threadfin,Eleutheronema tetradactylum,NCBITaxon_210139,Exact Synonym
blue salmon,Eleutheronema tetradactylum,NCBITaxon_210139,Exact Synonym
blind tassel-fish,Eleutheronema tetradactylum,NCBITaxon_210139,Exact Synonym
Indian salmon,Eleutheronema tetradactylum,NCBITaxon_210139,Exact Synonym
beech trees,Fagus,NCBITaxon_21024,Exact Synonym
wu lan,Canarium pimela,NCBITaxon_210350,Exact Synonym
Chinese black-olive,Canarium pimela,NCBITaxon_210350,Exact Synonym
ramontchi,Flacourtia indica,NCBITaxon_210376,Exact Synonym
batoko plum,Flacourtia indica,NCBITaxon_210376,Exact Synonym
Madagascar plum,Flacourtia indica,NCBITaxon_210376,Exact Synonym
Ophidion,Ophidion <cusk-eel>,NCBITaxon_210590,Exact Synonym
gulper shark,Centrophorus granulosus,NCBITaxon_212737,Exact Synonym
sandy ray,Leucoraja circularis,NCBITaxon_213384,Exact Synonym
luderick,Girella tricuspidata,NCBITaxon_214659,Exact Synonym
gentian family,Gentianaceae,NCBITaxon_21472,Exact Synonym
large yellow croaker,Larimichthys crocea,NCBITaxon_215358,Exact Synonym
croceine croaker,Larimichthys crocea,NCBITaxon_215358,Exact Synonym
slender sunfish,Ranzania laevis,NCBITaxon_215407,Exact Synonym
arrow squid,Nototodarus sloanii,NCBITaxon_215440,Exact Synonym
Sloane's squid,Nototodarus sloanii,NCBITaxon_215440,Exact Synonym
borage family,Boraginaceae,NCBITaxon_21571,Exact Synonym
Trochoidea,Trochoidea <superfamily>,NCBITaxon_216285,Exact Synonym
bullet tuna,Auxis rochei,NCBITaxon_217026,Exact Synonym
anchoveta,Engraulis ringens,NCBITaxon_217494,Exact Synonym
Peruvian anchovy,Engraulis ringens,NCBITaxon_217494,Exact Synonym
Anchoveta peruana,Engraulis ringens,NCBITaxon_217494,Exact Synonym
crucian carp,Carassius carassius,NCBITaxon_217509,Exact Synonym
mints,Mentha,NCBITaxon_21819,Exact Synonym
Malabar blood snapper,Lutjanus malabaricus,NCBITaxon_218797,Exact Synonym
narrow-barred Spanish mackerel,Scomberomorus commerson,NCBITaxon_218798,Exact Synonym
sages,Salvia,NCBITaxon_21880,Exact Synonym
verbena family,Verbenaceae,NCBITaxon_21910,Exact Synonym
pomerac,Syzygium malaccense,NCBITaxon_219892,Exact Synonym
Malay-apple,Syzygium malaccense,NCBITaxon_219892,Exact Synonym
Australian brush-cherry,Syzygium paniculatum,NCBITaxon_219897,Exact Synonym
vervains,Verbena,NCBITaxon_22002,Exact Synonym
star apple,Chrysophyllum cainito,NCBITaxon_221251,Exact Synonym
custard-apple family,Annonaceae,NCBITaxon_22140,Exact Synonym
nutmeg family,Myristicaceae,NCBITaxon_22274,Exact Synonym
spot-fin porcupinefish,Diodon hystrix,NCBITaxon_223145,Exact Synonym
sharptail mola,Masturus lanceolatus,NCBITaxon_223211,Exact Synonym
rough ray,Raja radula,NCBITaxon_223860,Exact Synonym
blonde ray,Raja brachyura,NCBITaxon_223862,Exact Synonym
small-eyed ray,Raja microocellata,NCBITaxon_223863,Exact Synonym
cuckoo ray,Leucoraja naevus,NCBITaxon_223888,Exact Synonym
shagreen ray,Leucoraja fullonica,NCBITaxon_223889,Exact Synonym
sand perch,Diplectrum formosum,NCBITaxon_224270,Exact Synonym
New World quails,Odontophoridae,NCBITaxon_224313,Exact Synonym
American quails,Odontophoridae,NCBITaxon_224313,Exact Synonym
blueback shad,Alosa aestivalis,NCBITaxon_224703,Exact Synonym
scaled sardine,Harengula jaguana,NCBITaxon_224705,Exact Synonym
Gulf menhaden,Brevoortia patronus,NCBITaxon_224707,Exact Synonym
mossbunker,Brevoortia tyrannus,NCBITaxon_224708,Exact Synonym
Atlantic menhaden,Brevoortia tyrannus,NCBITaxon_224708,Exact Synonym
Atlantic thread herring,Opisthonema oglinum,NCBITaxon_224711,Exact Synonym
round herring,Etrumeus teres,NCBITaxon_224716,Exact Synonym
red-eye round herring,Etrumeus teres,NCBITaxon_224716,Exact Synonym
common anchovy,Anchoa mitchilli,NCBITaxon_224718,Exact Synonym
bay anchovy,Anchoa mitchilli,NCBITaxon_224718,Exact Synonym
spotted blackbass,Micropterus punctulatus,NCBITaxon_225060,Exact Synonym
spotted bass,Micropterus punctulatus,NCBITaxon_225060,Exact Synonym
twintip,Stemodia,NCBITaxon_225102,Exact Synonym
owl limpet,Lottia gigantea,NCBITaxon_225164,Exact Synonym
freshwater drum,Aplodinotus grunniens,NCBITaxon_225389,Exact Synonym
zakuro,Punica granatum,NCBITaxon_22663,Exact Synonym
shi liu,Punica granatum,NCBITaxon_22663,Exact Synonym
pomegranate,Punica granatum,NCBITaxon_22663,Exact Synonym
grenadier,Punica granatum,NCBITaxon_22663,Exact Synonym
granado,Punica granatum,NCBITaxon_22663,Exact Synonym
water chestnut,Trapa natans,NCBITaxon_22666,Exact Synonym
naranjilla,Solanum quitoense,NCBITaxon_227725,Exact Synonym
lulo,Solanum quitoense,NCBITaxon_227725,Exact Synonym
sablefish,Anoplopoma fimbria,NCBITaxon_229290,Exact Synonym
tangelo,Citrus x tangelo,NCBITaxon_229630,Exact Synonym
currant family,Grossulariaceae,NCBITaxon_23066,Exact Synonym
hawthorn,Crataegus,NCBITaxon_23159,Exact Synonym
black cherry,Prunus serotina,NCBITaxon_23207,Exact Synonym
pear,Pyrus communis,NCBITaxon_23211,Exact Synonym
bramble,Rubus,NCBITaxon_23216,Exact Synonym
emperor red snapper,Lutjanus sebae,NCBITaxon_232192,Exact Synonym
mountain ashes,Sorbus,NCBITaxon_23222,Exact Synonym
golden currant,Ribes aureum,NCBITaxon_23283,Exact Synonym
buffalo currant,Ribes aureum,NCBITaxon_23283,Exact Synonym
caqui,Manilkara kauki,NCBITaxon_233707,Exact Synonym
yellow sapote,Pouteria campechiana,NCBITaxon_233737,Exact Synonym
eggfruit-tree,Pouteria campechiana,NCBITaxon_233737,Exact Synonym
canistel,Pouteria campechiana,NCBITaxon_233737,Exact Synonym
sapote,Pouteria sapota,NCBITaxon_233744,Exact Synonym
marmalade-plum,Pouteria sapota,NCBITaxon_233744,Exact Synonym
mammee sapote,Pouteria sapota,NCBITaxon_233744,Exact Synonym
rue family,Rutaceae,NCBITaxon_23513,Exact Synonym
soapberry family,Sapindaceae,NCBITaxon_23672,Exact Synonym
mooseberry,Viburnum edule,NCBITaxon_237934,Exact Synonym
quassia family,Simaroubaceae,NCBITaxon_23808,Exact Synonym
Mediterranean sand smelt,Atherina hepsetus,NCBITaxon_238709,Exact Synonym
Atlantic silverside,Menidia menidia,NCBITaxon_238744,Exact Synonym
northern anchovy,Engraulis mordax,NCBITaxon_239368,Exact Synonym
trumpet creeper family,Bignoniaceae,NCBITaxon_24079,Exact Synonym
eulachon,Thaleichthys pacificus,NCBITaxon_240832,Exact Synonym
greenbone,Odax pullus,NCBITaxon_241364,Exact Synonym
spottail spiny turbot,Psettodes belcheri,NCBITaxon_241828,Exact Synonym
tobacco root,Valeriana edulis,NCBITaxon_243120,Exact Synonym
gafftopsail sea catfish,Bagre marinus,NCBITaxon_243926,Exact Synonym
Queensland school mackerel,Scomberomorus queenslandicus,NCBITaxon_248136,Exact Synonym
Australian spotted mackerel,Scomberomorus munroi,NCBITaxon_248137,Exact Synonym
broadbarred king mackerel,Scomberomorus semifasciatus,NCBITaxon_248138,Exact Synonym
blue grenadier,Macruronus novaezelandiae,NCBITaxon_248764,Exact Synonym
Argentine anchovy,Engraulis anchoita,NCBITaxon_249022,Exact Synonym
violet family,Violaceae,NCBITaxon_24921,Exact Synonym
peony family,Paeoniaceae,NCBITaxon_24943,Exact Synonym
madder family,Rubiaceae,NCBITaxon_24966,Exact Synonym
roughscale sole,Clidoderma asperrimum,NCBITaxon_255560,Exact Synonym
Eremophila,Eremophila <angiosperm>,NCBITaxon_255893,Exact Synonym
Amur pike,Esox reichertii,NCBITaxon_256424,Exact Synonym
Norfolk island pine family,Araucariaceae,NCBITaxon_25664,Exact Synonym
common barberry,Berberis vulgaris,NCBITaxon_258209,Exact Synonym
European barberry,Berberis vulgaris,NCBITaxon_258209,Exact Synonym
aki,Blighia sapida,NCBITaxon_259381,Exact Synonym
akee,Blighia sapida,NCBITaxon_259381,Exact Synonym
ackee,Blighia sapida,NCBITaxon_259381,Exact Synonym
white weakfish,Atractoscion nobilis,NCBITaxon_259703,Exact Synonym
Russian olive family,Elaeagnaceae,NCBITaxon_25996,Exact Synonym
Pacific thread herring,Opisthonema libertate,NCBITaxon_259987,Exact Synonym
Guinea guava,Psidium guineense,NCBITaxon_260140,Exact Synonym
Brazilian guava,Psidium guineense,NCBITaxon_260140,Exact Synonym
jambolan,Syzygium cumini,NCBITaxon_260142,Exact Synonym
jaman,Syzygium cumini,NCBITaxon_260142,Exact Synonym
Java-plum,Syzygium cumini,NCBITaxon_260142,Exact Synonym
wax jambu,Syzygium samarangense,NCBITaxon_260143,Exact Synonym
makopa,Syzygium samarangense,NCBITaxon_260143,Exact Synonym
Java-apple,Syzygium samarangense,NCBITaxon_260143,Exact Synonym
longfin smelt,Spirinchus thaleichthys,NCBITaxon_260508,Exact Synonym
citron-melon,Citrullus lanatus var. citroides,NCBITaxon_260673,Exact Synonym
cerejeira-do-Taiti,Phyllanthus acidus,NCBITaxon_260718,Exact Synonym
cela usiri,Phyllanthus acidus,NCBITaxon_260718,Exact Synonym
jumbilin,Phyllanthus acidus,NCBITaxon_260718,Exact Synonym
grosellero,Phyllanthus acidus,NCBITaxon_260718,Exact Synonym
sour gooseberry,Phyllanthus acidus,NCBITaxon_260718,Exact Synonym
Otaheite gooseberry,Phyllanthus acidus,NCBITaxon_260718,Exact Synonym
iris family,Iridaceae,NCBITaxon_26339,Exact Synonym
angelshark,Squatina squatina,NCBITaxon_263718,Exact Synonym
humphead snapper,Lutjanus sanguineus,NCBITaxon_264213,Exact Synonym
bloodred snapper,Lutjanus sanguineus,NCBITaxon_264213,Exact Synonym
giant octopus,Enteroctopus dofleini,NCBITaxon_267067,Exact Synonym
North Pacific giant octopus,Enteroctopus dofleini,NCBITaxon_267067,Exact Synonym
bayberry family,Myricaceae,NCBITaxon_26766,Exact Synonym
ribworts,Plantago,NCBITaxon_26867,Exact Synonym
osgras,Eleusine coracana subsp. africana,NCBITaxon_268723,Exact Synonym
African finger millet,Eleusine coracana subsp. africana,NCBITaxon_268723,Exact Synonym
sweet marjoram,Origanum majorana,NCBITaxon_268884,Exact Synonym
spoonwort,Cochlearia officinalis,NCBITaxon_270110,Exact Synonym
scurvy-grass,Cochlearia officinalis,NCBITaxon_270110,Exact Synonym
pumpkinseed sunfish,Lepomis gibbosus,NCBITaxon_270329,Exact Synonym
pumpkinseed,Lepomis gibbosus,NCBITaxon_270329,Exact Synonym
Australian salmon,Arripis trutta,NCBITaxon_270544,Exact Synonym
giant gourami,Osphronemus goramy,NCBITaxon_270604,Exact Synonym
tea family,Theaceae,NCBITaxon_27065,Exact Synonym
sweet orange,Citrus sinensis,NCBITaxon_2711,Exact Synonym
navel orange,Citrus sinensis,NCBITaxon_2711,Exact Synonym
naranja,Citrus sinensis,NCBITaxon_2711,Exact Synonym
apfelsine,Citrus sinensis,NCBITaxon_2711,Exact Synonym
Valencia orange,Citrus sinensis,NCBITaxon_2711,Exact Synonym
Pacific jack mackerel,Trachurus symmetricus,NCBITaxon_271940,Exact Synonym
greenback horse mackerel,Trachurus declivis,NCBITaxon_271941,Exact Synonym
yellowtail horse mackerel,Trachurus novaezelandiae,NCBITaxon_271942,Exact Synonym
lager yeast,Saccharomyces pastorianus,NCBITaxon_27292,Exact Synonym
John's snapper,Lutjanus johnii,NCBITaxon_273455,Exact Synonym
blue king crab,Paralithodes platypus,NCBITaxon_273748,Exact Synonym
Atlantic thornyhead,Trachyscorpia cristulata,NCBITaxon_274695,Exact Synonym
spotted ray,Raja montagui,NCBITaxon_27588,Exact Synonym
eukaryotes,Eukaryota,NCBITaxon_2759,Exact Synonym
eucaryotes,Eukaryota,NCBITaxon_2759,Exact Synonym
bowhead whale,Balaena mysticetus,NCBITaxon_27602,Exact Synonym
bowhead,Balaena mysticetus,NCBITaxon_27602,Exact Synonym
Greenland right whale,Balaena mysticetus,NCBITaxon_27602,Exact Synonym
rhodophytes,Rhodophyta,NCBITaxon_2763,Exact Synonym
red algae,Rhodophyta,NCBITaxon_2763,Exact Synonym
carragheen,Chondrus crispus,NCBITaxon_2769,Exact Synonym
carrageen,Chondrus crispus,NCBITaxon_2769,Exact Synonym
carageen,Chondrus crispus,NCBITaxon_2769,Exact Synonym
Irish moss,Chondrus crispus,NCBITaxon_2769,Exact Synonym
sardine,Sardina pilchardus,NCBITaxon_27697,Exact Synonym
gudgeon,Gobio gobio,NCBITaxon_27704,Exact Synonym
largemouth blackbass,Micropterus salmoides,NCBITaxon_27706,Exact Synonym
largemouth bass,Micropterus salmoides,NCBITaxon_27706,Exact Synonym
tench,Tinca tinca,NCBITaxon_27717,Exact Synonym
bony tongues,Osteoglossidae,NCBITaxon_27723,Exact Synonym
dolphinfishes,Coryphaenidae,NCBITaxon_27766,Exact Synonym
snake mackerels,Gempylidae,NCBITaxon_27767,Exact Synonym
billfishes,Istiophoridae,NCBITaxon_27768,Exact Synonym
barracudas,Sphyraenidae,NCBITaxon_27769,Exact Synonym
cutlassfishes,Trichiuridae,NCBITaxon_27770,Exact Synonym
dab,Limanda limanda,NCBITaxon_27771,Exact Synonym
common dab,Limanda limanda,NCBITaxon_27771,Exact Synonym
searobins,Triglidae,NCBITaxon_27774,Exact Synonym
hawksbill turtle,Eretmochelys imbricata,NCBITaxon_27787,Exact Synonym
hawksbill sea turtle,Eretmochelys imbricata,NCBITaxon_27787,Exact Synonym
allis shad,Alosa alosa,NCBITaxon_278164,Exact Synonym
laver,Porphyra umbilicalis,NCBITaxon_2786,Exact Synonym
southern kingfish,Menticirrhus americanus,NCBITaxon_278734,Exact Synonym
southern kingcroaker,Menticirrhus americanus,NCBITaxon_278734,Exact Synonym
king whiting,Menticirrhus americanus,NCBITaxon_278734,Exact Synonym
Carolina whiting,Menticirrhus americanus,NCBITaxon_278734,Exact Synonym
channel mullet,Menticirrhus littoralis,NCBITaxon_278736,Exact Synonym
Gulf whiting,Menticirrhus littoralis,NCBITaxon_278736,Exact Synonym
Gulf kingfish,Menticirrhus littoralis,NCBITaxon_278736,Exact Synonym
Gulf kingcroaker,Menticirrhus littoralis,NCBITaxon_278736,Exact Synonym
Dulse,Palmaria palmata,NCBITaxon_2822,Exact Synonym
sauger,Sander canadensis,NCBITaxon_283034,Exact Synonym
pike-perch,Sander lucioperca,NCBITaxon_283035,Exact Synonym
walleye,Sander vitreus,NCBITaxon_283036,Exact Synonym
ping guo,Malus pumila,NCBITaxon_283210,Exact Synonym
paradise apple,Malus pumila,NCBITaxon_283210,Exact Synonym
spinycheek crayfish,Faxonius limosus,NCBITaxon_28379,Exact Synonym
South American pilchard,Sardinops sagax,NCBITaxon_28381,Exact Synonym
ocumo,Xanthosoma sagittifolium,NCBITaxon_28478,Exact Synonym
yautia,Xanthosoma sagittifolium,NCBITaxon_28478,Exact Synonym
malanga,Xanthosoma sagittifolium,NCBITaxon_28478,Exact Synonym
tania,Xanthosoma sagittifolium,NCBITaxon_28478,Exact Synonym
pomtajer,Xanthosoma sagittifolium,NCBITaxon_28478,Exact Synonym
yautia blanco,Xanthosoma sagittifolium,NCBITaxon_28478,Exact Synonym
prince's feather,Amaranthus hypochondriacus,NCBITaxon_28502,Exact Synonym
grain amaranth,Amaranthus hypochondriacus,NCBITaxon_28502,Exact Synonym
ground ivy,Glechoma hederacea,NCBITaxon_28509,Exact Synonym
gill-over-the-ground,Glechoma hederacea,NCBITaxon_28509,Exact Synonym
mugo pine,Pinus mugo,NCBITaxon_28528,Exact Synonym
mountain pine,Pinus mugo,NCBITaxon_28528,Exact Synonym
phoenix-tailed anchovy,Coilia mystus,NCBITaxon_286537,Exact Synonym
Osbeck's grenadier anchovy,Coilia mystus,NCBITaxon_286537,Exact Synonym
brown algae,Phaeophyceae,NCBITaxon_2870,Exact Synonym
Atlantic puffin,Fratercula arctica,NCBITaxon_28701,Exact Synonym
common snook,Centropomus undecimalis,NCBITaxon_28806,Exact Synonym
murlin,Alaria esculenta,NCBITaxon_2889,Exact Synonym
henware,Alaria esculenta,NCBITaxon_2889,Exact Synonym
badderlocks,Alaria esculenta,NCBITaxon_2889,Exact Synonym
Atlantic wakame,Alaria esculenta,NCBITaxon_2889,Exact Synonym
European beech,Fagus sylvatica,NCBITaxon_28930,Exact Synonym
blue shrimp,Penaeus stylirostris,NCBITaxon_29019,Exact Synonym
Pacific red snapper,Lutjanus peru,NCBITaxon_290247,Exact Synonym
white bear,Ursus maritimus,NCBITaxon_29073,Exact Synonym
polar bear,Ursus maritimus,NCBITaxon_29073,Exact Synonym
timbo,Paullinia pinnata,NCBITaxon_290984,Exact Synonym
beavers,Castoridae,NCBITaxon_29132,Exact Synonym
dugong and sea cow,Dugongidae,NCBITaxon_29135,Exact Synonym
dugong,Dugong dugon,NCBITaxon_29137,Exact Synonym
milkfish,Chanidae,NCBITaxon_29142,Exact Synonym
milkfish,Chanos chanos,NCBITaxon_29144,Exact Synonym
surgeonfishes,Acanthuridae,NCBITaxon_29146,Exact Synonym
Nile perch,Lates niloticus,NCBITaxon_29147,Exact Synonym
spotted mackerel,Scomber australasicus,NCBITaxon_29150,Exact Synonym
southern mackerel,Scomber australasicus,NCBITaxon_29150,Exact Synonym
slimy mackerel,Scomber australasicus,NCBITaxon_29150,Exact Synonym
