Ontology ID,IFSAC class,Bucket,,
FOODON_00001291,mollusks (bi-valve),clam food product,,
FOODON_00001292,mollusks (bi-valve),oyster food product,,
FOODON_00002051,mollusks (bi-valve),mussel food product,,
FOODON_00002227,mollusks (bi-valve),scallop food product,,
FOODON_00001746,mollusks (bi-valve),cockle food product,,
FOODON_03412113,mollusks (bi-valve),bivalve,,
FOODON_03412111,mollusks (non-bi-valve),gastropod,,
FOODON_03412116,mollusks (non-bi-valve),cephalopod,,
FOODON_00001575,mollusks (non-bi-valve),abalone food product,,
FOODON_00002244,mollusks (non-bi-valve),snail food product,,
FOODON_00001707,mollusks (non-bi-valve),cephalopod food product,,
FOODON_03316989,mollusks (non-bi-valve),octopus food product,,
FOODON_03316042,multi-ingredient,salad,,
FOODON_00002114,multi-ingredient,pie food product,,
FOODON_00001180,multi-ingredient,prepared food product,,
CHEBI_60004,multi-ingredient,mixture,,
FOODON_00002501,multi-ingredient,multi-component food,,
FOODON_03315013,multi-ingredient,snack food,,
FOODON_03306648,multi-ingredient,curry (dish),,
FOODON_03304292,multi-ingredient,spice mixture,,
FOODON_00001931,multi-ingredient,gravy or sauce,,
FOODON_03303220,multi-ingredient,dessert food,,
FOODON_00002257,multi-ingredient,soup food product,,
FOODON_03302001,multi-ingredient,animal-derived food,,
FOODON_03310775,multi-ingredient,pizza food product,,
FOODON_03460173,multi-ingredient,food (salted),,
FOODON_00002644,multi-ingredient,food (filled),,
FOODON_00002733,multi-ingredient,food (seasoned),,
FOODON_00002661,multi-ingredient,food (breaded),,
FOODON_00001714,multi-ingredient,food component,,
FOODON_00001605,multi-ingredient,animal product sausage,,
FOODON_00001007,multi-ingredient,sausage food product,,
FOODON_00001888,multi-ingredient,fruit jelly food product,,
FOODON_00001226,multi-ingredient,fruit preserve or jam food product,,
FOODON_00001079,multi-ingredient,food (pickled),,
FOODON_00001873,multi-ingredient,food spread,,
FOODON_00001885,multi-ingredient,fruit butter food product,,
FOODON_00002373,multi-ingredient,food product by meal type,,
FOODON_03308735,multi-ingredient;fish,tuna salad (food product),,
FOODON_00001172,nuts,nut food product,,
FOODON_03411213,nuts,nut producing plant,,
FOODON_00001087,oils,vegetable oil food product,,
FOODON_03310387,oils,oil,,
FOODON_00001149,other (confectionery),confectionery food product,,??
FOODON_00001626,other (confectionery),bakery food product,,??
FOODON_00001917,other (confectionery);grains,grain based bakery food product,,
FOODON_00002286,other (confectionery);multi-ingredient,sugar based cacao food product,,
FOODON_00001857,other (flavoring or seasoning),food flavoring or seasoning product,,
FOODON_03412972,other (food additive),food additive,,
FOODON_03420108,other (sweetener),sugar,,
UBERON_0036016,other (sweetener),sugars,,
FOODON_00001178,other (sweetener),honey food product,,
UBERON_0036016,other (sweetener),honey,,
FOODON_00002300 ,other (sweetener),sweetener food product,,
FOODON_00002291 ,other (sweetener),sugar cane sweetener food product,,
FOODON_03304509 ,other (sweetener),imitation honey,,
FOODON_03302676,other (sweetener),imitation maple sweetener,,
FOODON_03304706,other (sweetener),imitation maple syrup,,
FOODON_03307555 ,other (sweetener),imitation sugar,,
FOODON_03315170,other (sweetener),sugar substitute,,
FOODON_00001618 ,other (sweetener),artificial sweetener food product,,
FOODON_03411500,other animal,deer family,,
FOODON_00002616,other animal,avian animal,avian,??
FOODON_00001251,other animal,avian food product,avian,??
FOODON_00002693,other animal,alpaca,other animal (alpaca),
FOODON_03411481,other animal,antelope,other animal (antelope),game
FOODON_03412406,other animal,bear,other animal (bear),
FOODON_03411325,other animal,beaver,other animal (beaver),game
FOODON_03412248,other animal,boar,other animal (boar),game
FOODON_03411476,other animal,buffalo,other animal (buffalo),game
FOODON_03412103,other animal,camel,other animal (camel),game
NCBITaxon_9922,other animal,capra,other animal (capra),
NCBITaxon_8728,other animal,crotalus,other animal (crotalus),
FOODON_03411583,other animal,deer,other animal (deer),game
FOODON_03413363,other animal,dolphin family,other animal (dolphin family),
FOODON_03411316,other animal,duck,other animal (duck),game
FOODON_03414163,other animal,eared seal family,other animal (eared seal family),
FOODON_03411292,other animal,elk,other animal (elk),game
FOODON_03411229,other animal,horse,other animal (equine),
NCBITaxon_9789,other animal,equus,other animal (equine),
FOODON_03414849,other animal,equine,other animal (equine),
NCBITaxon_9796,other animal,equus caballus,other animal (equine),
FOODON_00002717,other animal,fly,other animal (fly),
FOODON_03411328,other animal,goat,other animal (goat),
FOODON_03411251,other animal,grouse,other animal (grouse),game
