Ontology ID,IFSAC class,Bucket,,
ifsac_0000058,root/underground (other),root/underground (other) (IFSAC),,
ifsac_0000059,root/underground (roots),root/underground (roots) (IFSAC),,
ifsac_0000060,root/underground (tubers),root/underground (tubers) (IFSAC),,
ifsac_0000061,seeded vegetables (legumes),seeded vegetables (legumes) (IFSAC),,
ifsac_0000062,seeded vegetables (other),seeded vegetables (other) (IFSAC),,
ifsac_0000063,seeded vegetables (solanaceous),seeded vegetables (solanaceous) (IFSAC),,
ifsac_0000064,seeded vegetables (vine-grown),seeded vegetables (vine-grown) (IFSAC),,
ifsac_0000065,seeds,seeds (IFSAC),,
ifsac_0000066,shellfish,shellfish (IFSAC),,
ifsac_0000067,small fruit,small fruit (IFSAC),,
ifsac_0000068,sprouts,sprouts (IFSAC),,
ifsac_0000069,stone fruit,stone fruit (IFSAC),,
ifsac_0000070,sub-tropical fruit,sub-tropical fruit (IFSAC),,
ifsac_0000071,tropical fruit,tropical fruit (IFSAC),,
ifsac_0000072,turkey,turkey (IFSAC),,
ifsac_0000073,vegetable row crops,vegetable row crops (IFSAC),,
ifsac_0000074,vegetable row crops (flower),vegetable row crops (flower) (IFSAC),,
ifsac_0000075,vegetable row crops (leafy),vegetable row crops (leafy) (IFSAC),,
ifsac_0000076,vegetable row crops (stem),vegetable row crops (stem) (IFSAC),,
ifsac_0000077,vegetables,vegetables (IFSAC),,
ifsac_0000078,wild animal,wild animal (IFSAC),,
