Bucket,Ontology ID,IFSAC class,,,,,,,,
avocado vegetable food product,FOODON_00001625,sub-tropical fruit,,,,,,,,
orange food product,FOODON_00002071,sub-tropical fruit,,,,,,,,
grapefruit food product,FOODON_00001929,sub-tropical fruit,,,,,,,,
lemon food product,FOODON_00001995,sub-tropical fruit,,,,,,,,
tangerine,FOODON_03315108,sub-tropical fruit,,,,,,,,
kumquat food product,FOODON_00001990,sub-tropical fruit,,,,,,,,
date food product,FOODON_00001803,sub-tropical fruit,,,,,,,,
fig food product,FOODON_00001851,sub-tropical fruit,,,,,,,,
lychee food product,FOODON_00002006,sub-tropical fruit,,,,,,,,
persimmon plant,FOODON_03411447,sub-tropical fruit,,,,,,,,
pomegranate plant,FOODON_03411162,sub-tropical fruit,,,,,,,,
citrus fruit juice,FOODON_00001156,sub-tropical fruit,,,,,,,,
tropical fruit food product,FOODON_00002689,tropical fruit,,,,,,,,
carica papaya,NCBITaxon_3649,tropical fruit,,,,,,,,
turkey (bird),FOODON_03411236,turkey,,,,,,,,
turkey meat food product,FOODON_00001286,turkey,,,,,,,,
meleagris,NCBITaxon_9102,turkey,,,,,,,,
meleagris gallopavo,NCBITaxon_9103,turkey,,,,,,,,
turkey sandwich,FOODON_03310573,turkey;multi-ingredient,,,,,,,,
plant head vegetable food product,FOODON_00002142,vegetable row crops,,,,,,,,
broccoli vegetable food product,FOODON_00001666,vegetable row crops (flower),,,,,,,,
plant floret vegetable food product,FOODON_00002140,vegetable row crops (flower),,,,,,,,
aloe,NCBITaxon_25641,vegetable row crops (flower),,,,,,,,
aloe vera,NCBITaxon_34199,vegetable row crops (flower),,,,,,,,
lettuce vegetable food product,FOODON_00001998,vegetable row crops (leafy),,,,,,,,
leafy vegetable,FOODON_03411566,vegetable row crops (leafy),,,,,,,,
plant leaf vegetable food product,FOODON_00002143,vegetable row crops (leafy),,,,,,,,
plant stem food product,FOODON_00001175,vegetable row crops (stem),,,,,,,,
vegetable food product,FOODON_00001261,vegetables,,,,,,,,
vegetable-producing plant,FOODON_03411579,vegetables,,,,,,,,
vegetable juice food product,FOODON_03301444,vegetables,,,,,,,,
reptile,FOODON_03411625,wild animal,,,,,,,,
amphibian or reptile food product,FOODON_00002200,wild animal,,,,,,,,
amphibian,FOODON_03411624,wild animal,,,,,,,,
girrafa,NCBITaxon_9893,wild animal,,,,,,,,
giraffe,FOODON_00003316,wild animal,,,,,,,,
poultry carcass,FOODON_03309387,environmental,,,,,,,,
isolate,ncit_c53471,clinical/research,,,,,,,,
organ,UBERON_0000062 ,clinical/research,,,,,,,,
plant,bto_0001481,plant,,,,,,,,
plant product,genepio_0002016,plant,,,,,,,,
swab - meat (deprecated),genepio_0001727,meat;environmental,,,,,,,,
turkey ham,foodon_03310971,pork;turkey,,,,,,,,
sample,sep_00042,clinical/research,,,,,,,,
patient,ncit_c16960,human,,,,,,,,
leaf,po_0025034,plant,,,,,,,,
lavage,obi_0600044,clinical/research,,,,,,,,
biological product,envo_02000043,clinical/research,,,,,,,,
chicken curry,foodon_00003260,chicken,,,,,,,,
salt product,FOODON_00002221,other (food additive),,,,,,,,
salt,chebi_24866,other (food additive),,,,,,,,
animal (IFSAC),ifsac_0000002,animal,,,,,,,,
animal feed (IFSAC),ifsac_0000003,animal feed,,,,,,,,
aquatic animals (IFSAC),ifsac_0000004,aquatic animals,,,,,,,,
beans (IFSAC),ifsac_0000005,beans,,,,,,,,
beef (IFSAC),ifsac_0000006,beef,,,,,,,,
chicken (IFSAC),ifsac_0000007,chicken,,,,,,,,
clinical/research (IFSAC),ifsac_0000008,clinical/research,,,,,,,,
companion animal (IFSAC),ifsac_0000009,companion animal,,,,,,,,
other (confectionery) (IFSAC),ifsac_0000010,confectionery,,,,,,,,
cow (IFSAC),ifsac_0000011,cow,,,,,,,,
crustaceans (IFSAC),ifsac_0000012,crustaceans,,,,,,,,
dairy (IFSAC),ifsac_0000013,dairy,,,,,,,,
dietary supplement (IFSAC),ifsac_0000014,dietary supplement,,,,,,,,
eggs (IFSAC),ifsac_0000015,eggs,,,,,,,,
engineered seafood (IFSAC),ifsac_0000016,engineered seafood,,,,,,,,
environmental (IFSAC),ifsac_0000017,environmental,,,,,,,,
environmental-abattoir (IFSAC),ifsac_0000018,environmental-abattoir,,,,,,,,
environmental-animal housing (IFSAC),ifsac_0000019,environmental-animal housing,,,,,,,,
environmental-factory/production facility (IFSAC),ifsac_0000020,environmental-factory/production facility,,,,,,,,
environmental-farm (IFSAC),ifsac_0000021,environmental-farm,,,,,,,,
environmental-pasture (IFSAC),ifsac_0000022,environmental-pasture,,,,,,,,
environmental-research facility (IFSAC),ifsac_0000023,environmental-research facility,,,,,,,,
environmental-restaurant (IFSAC),ifsac_0000024,environmental-restaurant,,,,,,,,
environmental-retail (IFSAC),ifsac_0000025,environmental-retail,,,,,,,,
environmental-vehicle (IFSAC),ifsac_0000026,environmental-vehicle,,,,,,,,
environmental-warehouse (IFSAC),ifsac_0000027,environmental-warehouse,,,,,,,,
environmental-water (IFSAC),ifsac_0000028,environmental-water,,,,,,,,
fish (IFSAC),ifsac_0000029,fish,,,,,,,,
other (flavoring or seasoning) (IFSAC),ifsac_0000030,other (flavoring or seasoning),,,,,,,,
food (IFSAC),ifsac_0000031,food,,,,,,,,
fruits (IFSAC),ifsac_0000032,fruits,,,,,,,,
fungi (IFSAC),ifsac_0000033,fungi,,,,,,,,
game (IFSAC),ifsac_0000034,game,,,,,,,,
grains (IFSAC),ifsac_0000035,grains,,,,,,,,
herbs (IFSAC),ifsac_0000036,herbs,,,,,,,,
human (IFSAC),ifsac_0000037,human,,,,,,,,
meat (IFSAC),ifsac_0000038,meat,,,,,,,,
melon fruit (IFSAC),ifsac_0000039,melon fruit,,,,,,,,
mollusks (bi-valve) (IFSAC),ifsac_0000040,mollusks (bi-valve),,,,,,,,
mollusks (non-bi-valve) (IFSAC),ifsac_0000041,mollusks (non-bi-valve),,,,,,,,
multi-ingredient (IFSAC),ifsac_0000042,multi-ingredient,,,,,,,,
nuts (IFSAC),ifsac_0000043,nuts,,,,,,,,
oils (IFSAC),ifsac_0000044,oils,,,,,,,,
other (food additive) (IFSAC),ifsac_0000045,other (food additive),,,,,,,,
other (sweetener) (IFSAC),ifsac_0000046,other (sweetener),,,,,,,,
other animal (IFSAC),ifsac_0000047,other animal,,,,,,,,
other aquatic animals (IFSAC),ifsac_0000048,other aquatic animals,,,,,,,,
other meat (IFSAC),ifsac_0000049,other meat,,,,,,,,
other poultry (IFSAC),ifsac_0000050,other poultry,,,,,,,,
pig (IFSAC),ifsac_0000051,pig,,,,,,,,
plant (IFSAC),ifsac_0000052,plant,,,,,,,,
pome fruit (IFSAC),ifsac_0000053,pome fruit,,,,,,,,
pork (IFSAC),ifsac_0000054,pork,,,,,,,,
poultry (IFSAC),ifsac_0000055,poultry,,,,,,,,
root/underground (IFSAC),ifsac_0000056,root/underground,,,,,,,,
root/underground (bulbs) (IFSAC),ifsac_0000057,root/underground (bulbs),,,,,,,,
root/underground (other) (IFSAC),ifsac_0000058,root/underground (other),,,,,,,,
root/underground (roots) (IFSAC),ifsac_0000059,root/underground (roots),,,,,,,,
root/underground (tubers) (IFSAC),ifsac_0000060,root/underground (tubers),,,,,,,,
seeded vegetables (legumes) (IFSAC),ifsac_0000061,seeded vegetables (legumes),,,,,,,,
seeded vegetables (other) (IFSAC),ifsac_0000062,seeded vegetables (other),,,,,,,,
seeded vegetables (solanaceous) (IFSAC),ifsac_0000063,seeded vegetables (solanaceous),,,,,,,,
seeded vegetables (vine-grown) (IFSAC),ifsac_0000064,seeded vegetables (vine-grown),,,,,,,,
seeds (IFSAC),ifsac_0000065,seeds,,,,,,,,
shellfish (IFSAC),ifsac_0000066,shellfish,,,,,,,,
small fruit (IFSAC),ifsac_0000067,small fruit,,,,,,,,
sprouts (IFSAC),ifsac_0000068,sprouts,,,,,,,,
stone fruit (IFSAC),ifsac_0000069,stone fruit,,,,,,,,
sub-tropical fruit (IFSAC),ifsac_0000070,sub-tropical fruit,,,,,,,,
tropical fruit (IFSAC),ifsac_0000071,tropical fruit,,,,,,,,
turkey (IFSAC),ifsac_0000072,turkey,,,,,,,,
vegetable row crops (IFSAC),ifsac_0000073,vegetable row crops,,,,,,,,
vegetable row crops (flower) (IFSAC),ifsac_0000074,vegetable row crops (flower),,,,,,,,
vegetable row crops (leafy) (IFSAC),ifsac_0000075,vegetable row crops (leafy),,,,,,,,
vegetable row crops (stem) (IFSAC),ifsac_0000076,vegetable row crops (stem),,,,,,,,
vegetables (IFSAC),ifsac_0000077,vegetables,,,,,,,,
wild animal (IFSAC),ifsac_0000078,wild animal,,,,,,,,
