Term,Expansion,
bow legs,[BodyPart-OR-OrganicPart],
brainstem,[BodyPart-OR-OrganicPart],
breastbone,[BodyPart-OR-OrganicPart],
bristols,[BodyPart-OR-OrganicPart],
Broca's area,[BodyPart-OR-OrganicPart],
bronchus,[BodyPart-OR-OrganicPart],
buck teeth,[BodyPart-OR-OrganicPart],
butterfat,[BodyPart-OR-OrganicPart],
buttock,[BodyPart-OR-OrganicPart],
callus,[BodyPart-OR-OrganicPart],
canker sore,[BodyPart-OR-OrganicPart],
capillary,[BodyPart-OR-OrganicPart],
carotid artery,[BodyPart-OR-OrganicPart],
carpal,[BodyPart-OR-OrganicPart],
carrion,[BodyPart-OR-OrganicPart],
cartilage,[BodyPart-OR-OrganicPart],
cauliflower ear,[BodyPart-OR-OrganicPart],
cellulite,[BodyPart-OR-OrganicPart],
central nervous system,[BodyPart-OR-OrganicPart],
cerebellum,[BodyPart-OR-OrganicPart],
cerebrum,[BodyPart-OR-OrganicPart],
cheekbone,[BodyPart-OR-OrganicPart],
chemoreceptor,[BodyPart-OR-OrganicPart],
chin,[BodyPart-OR-OrganicPart],
chitterlings,[BodyPart-OR-OrganicPart],
ciliary muscle,[BodyPart-OR-OrganicPart],
clavicle,[BodyPart-OR-OrganicPart],
claw,[BodyPart-OR-OrganicPart],
clitoris,[BodyPart-OR-OrganicPart],
cloacal,[BodyPart-OR-OrganicPart],
cloven hoof,[BodyPart-OR-OrganicPart],
club foot,[BodyPart-OR-OrganicPart],
coccyx,[BodyPart-OR-OrganicPart],
cochlea,[BodyPart-OR-OrganicPart],
collarbone,[BodyPart-OR-OrganicPart],
collective unconscious,[BodyPart-OR-OrganicPart],
compound eye,[BodyPart-OR-OrganicPart],
conk,[BodyPart-OR-OrganicPart],
copra,[BodyPart-OR-OrganicPart],
coronary artery,[BodyPart-OR-OrganicPart],
corpuscle,[BodyPart-OR-OrganicPart],
cortex,[BodyPart-OR-OrganicPart],
craw,[BodyPart-OR-OrganicPart],
cuticle,[BodyPart-OR-OrganicPart],
dandruff,[BodyPart-OR-OrganicPart],
death's head,[BodyPart-OR-OrganicPart],
deltoids,[BodyPart-OR-OrganicPart],
dentures,[BodyPart-OR-OrganicPart],
dermis,[BodyPart-OR-OrganicPart],
digestive system,[BodyPart-OR-OrganicPart],
