Term,Expansion,
cookie jar,[Container-Or-Receptacle-Or-Enclosure],
cookware,[Container-Or-Receptacle-Or-Enclosure],
cool bag,[Container-Or-Receptacle-Or-Enclosure],
crate,[Container-Or-Receptacle-Or-Enclosure],
creel,[Container-Or-Receptacle-Or-Enclosure],
cruet,[Container-Or-Receptacle-Or-Enclosure],
decanter,[Container-Or-Receptacle-Or-Enclosure],
demijohn,[Container-Or-Receptacle-Or-Enclosure],
dinner service,[Container-Or-Receptacle-Or-Enclosure],
diplomatic bag,[Container-Or-Receptacle-Or-Enclosure],
dishpan,[Container-Or-Receptacle-Or-Enclosure],
display bin,[Container-Or-Receptacle-Or-Enclosure],
diving bell,[Container-Or-Receptacle-Or-Enclosure],
Dixie Cup,[Container-Or-Receptacle-Or-Enclosure],
doggy bag,[Container-Or-Receptacle-Or-Enclosure],
Doona,[Container-Or-Receptacle-Or-Enclosure],
dump bin,[Container-Or-Receptacle-Or-Enclosure],
Dumpster,[Container-Or-Receptacle-Or-Enclosure],
dustbin,[Container-Or-Receptacle-Or-Enclosure],
dustpan,[Container-Or-Receptacle-Or-Enclosure],
duvet,[Container-Or-Receptacle-Or-Enclosure],
Esky,[Container-Or-Receptacle-Or-Enclosure],
ewer,[Container-Or-Receptacle-Or-Enclosure],
extinguisher,[Container-Or-Receptacle-Or-Enclosure],
eyebath,[Container-Or-Receptacle-Or-Enclosure],
fanny pack,[Container-Or-Receptacle-Or-Enclosure],
feedbag,[Container-Or-Receptacle-Or-Enclosure],
feeding bottle,[Container-Or-Receptacle-Or-Enclosure],
finger bowl,[Container-Or-Receptacle-Or-Enclosure],
fire extinguisher,[Container-Or-Receptacle-Or-Enclosure],
flagon,[Container-Or-Receptacle-Or-Enclosure],
flotation tank,[Container-Or-Receptacle-Or-Enclosure],
flowerpot,[Container-Or-Receptacle-Or-Enclosure],
frying pan,[Container-Or-Receptacle-Or-Enclosure],
gabion,[Container-Or-Receptacle-Or-Enclosure],
garbage can,[Container-Or-Receptacle-Or-Enclosure],
gasholder,[Container-Or-Receptacle-Or-Enclosure],
goblet,[Container-Or-Receptacle-Or-Enclosure],
gravy boat,[Container-Or-Receptacle-Or-Enclosure],
growbag,[Container-Or-Receptacle-Or-Enclosure],
gunnysack,[Container-Or-Receptacle-Or-Enclosure],
hand baggage,[Container-Or-Receptacle-Or-Enclosure],
hand luggage,[Container-Or-Receptacle-Or-Enclosure],
handbag,[Container-Or-Receptacle-Or-Enclosure],
handbasin,[Container-Or-Receptacle-Or-Enclosure],
hanging basket,[Container-Or-Receptacle-Or-Enclosure],
hatbox,[Container-Or-Receptacle-Or-Enclosure],
haversack,[Container-Or-Receptacle-Or-Enclosure],
hip bath,[Container-Or-Receptacle-Or-Enclosure],
hip flask,[Container-Or-Receptacle-Or-Enclosure],
hod,[Container-Or-Receptacle-Or-Enclosure],
holdall,[Container-Or-Receptacle-Or-Enclosure],
hopper,[Container-Or-Receptacle-Or-Enclosure],
hot tub,[Container-Or-Receptacle-Or-Enclosure],
hot water bottle,[Container-Or-Receptacle-Or-Enclosure],
hourglass,[Container-Or-Receptacle-Or-Enclosure],
ice bucket,[Container-Or-Receptacle-Or-Enclosure],
ice pack,[Container-Or-Receptacle-Or-Enclosure],
in box,[Container-Or-Receptacle-Or-Enclosure],
in tray,[Container-Or-Receptacle-Or-Enclosure],
incinerator,[Container-Or-Receptacle-Or-Enclosure],
inkwell,[Container-Or-Receptacle-Or-Enclosure],
Jacuzzi,[Container-Or-Receptacle-Or-Enclosure],
jam jar,[Container-Or-Receptacle-Or-Enclosure],
jeroboam,[Container-Or-Receptacle-Or-Enclosure],
jewel case,[Container-Or-Receptacle-Or-Enclosure],
jiko,[Container-Or-Receptacle-Or-Enclosure],
kettle,[Container-Or-Receptacle-Or-Enclosure],
kiondo,[Container-Or-Receptacle-Or-Enclosure],
kit,[Container-Or-Receptacle-Or-Enclosure],
kitbag,[Container-Or-Receptacle-Or-Enclosure],
liposome,[Container-Or-Receptacle-Or-Enclosure],
litter bin,[Container-Or-Receptacle-Or-Enclosure],
loving cup,[Container-Or-Receptacle-Or-Enclosure],
magnum,[Container-Or-Receptacle-Or-Enclosure],
manger,[Container-Or-Receptacle-Or-Enclosure],
matchbox,[Container-Or-Receptacle-Or-Enclosure],
measuring cup,[Container-Or-Receptacle-Or-Enclosure],
measuring jug,[Container-Or-Receptacle-Or-Enclosure],
mess tin,[Container-Or-Receptacle-Or-Enclosure],
methuselah,[Container-Or-Receptacle-Or-Enclosure],
mixing bowl,[Container-Or-Receptacle-Or-Enclosure],
money box,[Container-Or-Receptacle-Or-Enclosure],
Moses basket,[Container-Or-Receptacle-Or-Enclosure],
nebuchadnezzar,[Container-Or-Receptacle-Or-Enclosure],
nest box,[Container-Or-Receptacle-Or-Enclosure],
nosebag,[Container-Or-Receptacle-Or-Enclosure],
oceanarium,[Container-Or-Receptacle-Or-Enclosure],
oilcan,[Container-Or-Receptacle-Or-Enclosure],
out box,[Container-Or-Receptacle-Or-Enclosure],
out tray,[Container-Or-Receptacle-Or-Enclosure],
pack ,[Container-Or-Receptacle-Or-Enclosure],
packing case,[Container-Or-Receptacle-Or-Enclosure],
palliasse,[Container-Or-Receptacle-Or-Enclosure],
pan,[Container-Or-Receptacle-Or-Enclosure],
paper plate,[Container-Or-Receptacle-Or-Enclosure],
papoose,[Container-Or-Receptacle-Or-Enclosure],
pedal bin,[Container-Or-Receptacle-Or-Enclosure],
pencil case,[Container-Or-Receptacle-Or-Enclosure],
pepper pot,[Container-Or-Receptacle-Or-Enclosure],
percolator,[Container-Or-Receptacle-Or-Enclosure],
phial,[Container-Or-Receptacle-Or-Enclosure],
piggy bank,[Container-Or-Receptacle-Or-Enclosure],
pillar box,[Container-Or-Receptacle-Or-Enclosure],
pisspot,[Container-Or-Receptacle-Or-Enclosure],
plant pot,[Container-Or-Receptacle-Or-Enclosure],
platter,[Container-Or-Receptacle-Or-Enclosure],
pocket,[Container-Or-Receptacle-Or-Enclosure],
pomander,[Container-Or-Receptacle-Or-Enclosure],
postbox,[Container-Or-Receptacle-Or-Enclosure],
potty,[Container-Or-Receptacle-Or-Enclosure],
propagator,[Container-Or-Receptacle-Or-Enclosure],
pudding basin,[Container-Or-Receptacle-Or-Enclosure],
punchbag,[Container-Or-Receptacle-Or-Enclosure],
punchbowl,[Container-Or-Receptacle-Or-Enclosure],
punching bag,[Container-Or-Receptacle-Or-Enclosure],
punnet,[Container-Or-Receptacle-Or-Enclosure],
ramekin,[Container-Or-Receptacle-Or-Enclosure],
red box,[Container-Or-Receptacle-Or-Enclosure],
rehoboam,[Container-Or-Receptacle-Or-Enclosure],
reliquary,[Container-Or-Receptacle-Or-Enclosure],
reticule,[Container-Or-Receptacle-Or-Enclosure],
sack,[Container-Or-Receptacle-Or-Enclosure],
safe deposit box,[Container-Or-Receptacle-Or-Enclosure],
safety deposit box,[Container-Or-Receptacle-Or-Enclosure],
salt cellar,[Container-Or-Receptacle-Or-Enclosure],
salver,[Container-Or-Receptacle-Or-Enclosure],
samovar,[Container-Or-Receptacle-Or-Enclosure],
sandbag,[Container-Or-Receptacle-Or-Enclosure],
satchel,[Container-Or-Receptacle-Or-Enclosure],
sauce boat,[Container-Or-Receptacle-Or-Enclosure],
saucepan,[Container-Or-Receptacle-Or-Enclosure],
scrotum,[Container-Or-Receptacle-Or-Enclosure],
scuttle,[Container-Or-Receptacle-Or-Enclosure],
septic tank,[Container-Or-Receptacle-Or-Enclosure],
shoulder bag,[Container-Or-Receptacle-Or-Enclosure],
sick bag,[Container-Or-Receptacle-Or-Enclosure],
side plate,[Container-Or-Receptacle-Or-Enclosure],
skillet,[Container-Or-Receptacle-Or-Enclosure],
sleeping bag,[Container-Or-Receptacle-Or-Enclosure],
slow cooker,[Container-Or-Receptacle-Or-Enclosure],
snuffbox,[Container-Or-Receptacle-Or-Enclosure],
soda siphon,[Container-Or-Receptacle-Or-Enclosure],
solar cooker,[Container-Or-Receptacle-Or-Enclosure],
spittoon,[Container-Or-Receptacle-Or-Enclosure],
sponge bag,[Container-Or-Receptacle-Or-Enclosure],
sporran,[Container-Or-Receptacle-Or-Enclosure],
spray can,[Container-Or-Receptacle-Or-Enclosure],
stein,[Container-Or-Receptacle-Or-Enclosure],
stink bomb,[Container-Or-Receptacle-Or-Enclosure],
stockpot,[Container-Or-Receptacle-Or-Enclosure],
stoneware,[Container-Or-Receptacle-Or-Enclosure],
stoup,[Container-Or-Receptacle-Or-Enclosure],
strongbox,[Container-Or-Receptacle-Or-Enclosure],
sufuria,[Container-Or-Receptacle-Or-Enclosure],
tankard,[Container-Or-Receptacle-Or-Enclosure],
tea bag,[Container-Or-Receptacle-Or-Enclosure],
tea caddy,[Container-Or-Receptacle-Or-Enclosure],
tea chest,[Container-Or-Receptacle-Or-Enclosure],
teacup,[Container-Or-Receptacle-Or-Enclosure],
teakettle,[Container-Or-Receptacle-Or-Enclosure],
teapot,[Container-Or-Receptacle-Or-Enclosure],
terrarium,[Container-Or-Receptacle-Or-Enclosure],
Thermos,[Container-Or-Receptacle-Or-Enclosure],
tidy,[Container-Or-Receptacle-Or-Enclosure],
time capsule,[Container-Or-Receptacle-Or-Enclosure],
tinny,[Container-Or-Receptacle-Or-Enclosure],
toilet bag,[Container-Or-Receptacle-Or-Enclosure],
toiletry bag,[Container-Or-Receptacle-Or-Enclosure],
toolbox,[Container-Or-Receptacle-Or-Enclosure],
trash can,[Container-Or-Receptacle-Or-Enclosure],
tray,[Container-Or-Receptacle-Or-Enclosure],
trencher,[Container-Or-Receptacle-Or-Enclosure],
trug,[Container-Or-Receptacle-Or-Enclosure],
tun,[Container-Or-Receptacle-Or-Enclosure],
tureen,[Container-Or-Receptacle-Or-Enclosure],
vacuum flask,[Container-Or-Receptacle-Or-Enclosure],
valise,[Container-Or-Receptacle-Or-Enclosure],
vase,[Container-Or-Receptacle-Or-Enclosure],
vat,[Container-Or-Receptacle-Or-Enclosure],
vial,[Container-Or-Receptacle-Or-Enclosure],
vivarium,[Container-Or-Receptacle-Or-Enclosure],
warming pan,[Container-Or-Receptacle-Or-Enclosure],
washbag,[Container-Or-Receptacle-Or-Enclosure],
washtub,[Container-Or-Receptacle-Or-Enclosure],
waste bin,[Container-Or-Receptacle-Or-Enclosure],
waste paper basket,[Container-Or-Receptacle-Or-Enclosure],
wastebasket,[Container-Or-Receptacle-Or-Enclosure],
water butt,[Container-Or-Receptacle-Or-Enclosure],
water wings,[Container-Or-Receptacle-Or-Enclosure],
watering can,[Container-Or-Receptacle-Or-Enclosure],
wheelbarrow,[Container-Or-Receptacle-Or-Enclosure],
wheelie bin,[Container-Or-Receptacle-Or-Enclosure],
window box,[Container-Or-Receptacle-Or-Enclosure],
wok,[Container-Or-Receptacle-Or-Enclosure],
work basket,[Container-Or-Receptacle-Or-Enclosure],
workbox,[Container-Or-Receptacle-Or-Enclosure],
wormery,[Container-Or-Receptacle-Or-Enclosure],
and,[CoordConjunction-Addition],
plus,[CoordConjunction-Addition],
or,[CoordConjunction-Alternative],
but,[CoordConjunction-Contrast],
so,[CoordConjunction-Effect],
for,[CoordConjunction-Purpose],
used for,[CoordConjunction-Purpose],
cadaver,[DeadBody],
carcass,[DeadBody],
corpse,[DeadBody],
stiff,[DeadBody],
Antarctic,[EarthRelated],
Arctic,[EarthRelated],
Gaia,[EarthRelated],
Occident,[EarthRelated],
Oceania,[EarthRelated],
Orient,[EarthRelated],
subtropics,[EarthRelated],
temperate zone,[EarthRelated],
torrid zone,[EarthRelated],
accelerometer,[Equipment-OR-Device-OR-ManmadeObject],
accordion,[Equipment-OR-Device-OR-ManmadeObject],
accoutrements,[Equipment-OR-Device-OR-ManmadeObject],
adjustable spanner,[Equipment-OR-Device-OR-ManmadeObject],
adze,[Equipment-OR-Device-OR-ManmadeObject],
aerial,[Equipment-OR-Device-OR-ManmadeObject],
afterburner,[Equipment-OR-Device-OR-ManmadeObject],
agogo,[Equipment-OR-Device-OR-ManmadeObject],
air conditioner,[Equipment-OR-Device-OR-ManmadeObject],
air conditioning,[Equipment-OR-Device-OR-ManmadeObject],
air freshener,[Equipment-OR-Device-OR-ManmadeObject],
air pump,[Equipment-OR-Device-OR-ManmadeObject],
airbag,[Equipment-OR-Device-OR-ManmadeObject],
airbrush,[Equipment-OR-Device-OR-ManmadeObject],
alarm clock,[Equipment-OR-Device-OR-ManmadeObject],
Allen key,[Equipment-OR-Device-OR-ManmadeObject],
alpenhorn,[Equipment-OR-Device-OR-ManmadeObject],
alphorn,[Equipment-OR-Device-OR-ManmadeObject],
alternator,[Equipment-OR-Device-OR-ManmadeObject],
altimeter,[Equipment-OR-Device-OR-ManmadeObject],
ammeter,[Equipment-OR-Device-OR-ManmadeObject],
amplifier,[Equipment-OR-Device-OR-ManmadeObject],
anemometer,[Equipment-OR-Device-OR-ManmadeObject],
angle grinder,[Equipment-OR-Device-OR-ManmadeObject],
annunciator,[Equipment-OR-Device-OR-ManmadeObject],
answering machine,[Equipment-OR-Device-OR-ManmadeObject],
answerphone,[Equipment-OR-Device-OR-ManmadeObject],
appliance,[Equipment-OR-Device-OR-ManmadeObject],
applicator,[Equipment-OR-Device-OR-ManmadeObject],
aqualung,[Equipment-OR-Device-OR-ManmadeObject],
arc lamp,[Equipment-OR-Device-OR-ManmadeObject],
Armalite,[Equipment-OR-Device-OR-ManmadeObject],
army surplus,[Equipment-OR-Device-OR-ManmadeObject],
aspirator,[Equipment-OR-Device-OR-ManmadeObject],
astrolabe,[Equipment-OR-Device-OR-ManmadeObject],
ATM,[Equipment-OR-Device-OR-ManmadeObject],
atomic clock,[Equipment-OR-Device-OR-ManmadeObject],
ATP,[Equipment-OR-Device-OR-ManmadeObject],
attenuator,[Equipment-OR-Device-OR-ManmadeObject],
auger,[Equipment-OR-Device-OR-ManmadeObject],
autochanger,[Equipment-OR-Device-OR-ManmadeObject],
Autocue,[Equipment-OR-Device-OR-ManmadeObject],
autoharp,[Equipment-OR-Device-OR-ManmadeObject],
automated teller machine,[Equipment-OR-Device-OR-ManmadeObject],
automatic pilot,[Equipment-OR-Device-OR-ManmadeObject],
automatic transmission,[Equipment-OR-Device-OR-ManmadeObject],
autopilot,[Equipment-OR-Device-OR-ManmadeObject],
awl,[Equipment-OR-Device-OR-ManmadeObject],
baby grand,[Equipment-OR-Device-OR-ManmadeObject],
bagpipes,[Equipment-OR-Device-OR-ManmadeObject],
balafon,[Equipment-OR-Device-OR-ManmadeObject],
balalaika,[Equipment-OR-Device-OR-ManmadeObject],
baler,[Equipment-OR-Device-OR-ManmadeObject],
ballcock,[Equipment-OR-Device-OR-ManmadeObject],
balloon whisk,[Equipment-OR-Device-OR-ManmadeObject],
ballpoint,[Equipment-OR-Device-OR-ManmadeObject],
bandsaw,[Equipment-OR-Device-OR-ManmadeObject],
banjo,[Equipment-OR-Device-OR-ManmadeObject],
barograph,[Equipment-OR-Device-OR-ManmadeObject],
barrel organ,[Equipment-OR-Device-OR-ManmadeObject],
bass drum,[Equipment-OR-Device-OR-ManmadeObject],
basset horn,[Equipment-OR-Device-OR-ManmadeObject],
bassoon,[Equipment-OR-Device-OR-ManmadeObject],
bayonet,[Equipment-OR-Device-OR-ManmadeObject],
beeper,[Equipment-OR-Device-OR-ManmadeObject],
bellows,[Equipment-OR-Device-OR-ManmadeObject],
belt,[Equipment-OR-Device-OR-ManmadeObject],
bifocals,[Equipment-OR-Device-OR-ManmadeObject],
billhook,[Equipment-OR-Device-OR-ManmadeObject],
binoculars,[Equipment-OR-Device-OR-ManmadeObject],
Biro,[Equipment-OR-Device-OR-ManmadeObject],
bleeper,[Equipment-OR-Device-OR-ManmadeObject],
blender,[Equipment-OR-Device-OR-ManmadeObject],
block and tackle,[Equipment-OR-Device-OR-ManmadeObject],
blowlamp,[Equipment-OR-Device-OR-ManmadeObject],
blowtorch,[Equipment-OR-Device-OR-ManmadeObject],
bobbin,[Equipment-OR-Device-OR-ManmadeObject],
bodhrÃ¡n,[Equipment-OR-Device-OR-ManmadeObject],
bolometer,[Equipment-OR-Device-OR-ManmadeObject],
bombsight,[Equipment-OR-Device-OR-ManmadeObject],
bongo,[Equipment-OR-Device-OR-ManmadeObject],
boom box,[Equipment-OR-Device-OR-ManmadeObject],
bottle opener,[Equipment-OR-Device-OR-ManmadeObject],
bouzouki,[Equipment-OR-Device-OR-ManmadeObject],
bowie knife,[Equipment-OR-Device-OR-ManmadeObject],
brace and bit,[Equipment-OR-Device-OR-ManmadeObject],
bradawl,[Equipment-OR-Device-OR-ManmadeObject],
branding iron,[Equipment-OR-Device-OR-ManmadeObject],
breast pump,[Equipment-OR-Device-OR-ManmadeObject],
breathalyser,[Equipment-OR-Device-OR-ManmadeObject],
broom,[Equipment-OR-Device-OR-ManmadeObject],
brush,[Equipment-OR-Device-OR-ManmadeObject],
bubblejet printer,[Equipment-OR-Device-OR-ManmadeObject],
bugle,[Equipment-OR-Device-OR-ManmadeObject],
Bulldog clip,[Equipment-OR-Device-OR-ManmadeObject],
bullhorn,[Equipment-OR-Device-OR-ManmadeObject],
Bunsen burner,[Equipment-OR-Device-OR-ManmadeObject],
burglar alarm,[Equipment-OR-Device-OR-ManmadeObject],
butter knife,[Equipment-OR-Device-OR-ManmadeObject],
button lift,[Equipment-OR-Device-OR-ManmadeObject],
buzz saw,[Equipment-OR-Device-OR-ManmadeObject],
buzzer,[Equipment-OR-Device-OR-ManmadeObject],
CAD,[Equipment-OR-Device-OR-ManmadeObject],
calculator,[Equipment-OR-Device-OR-ManmadeObject],
calorimeter,[Equipment-OR-Device-OR-ManmadeObject],
camcorder,[Equipment-OR-Device-OR-ManmadeObject],
camera,[Equipment-OR-Device-OR-ManmadeObject],
camera obscura,[Equipment-OR-Device-OR-ManmadeObject],
can opener,[Equipment-OR-Device-OR-ManmadeObject],
capacitor,[Equipment-OR-Device-OR-ManmadeObject],
car phone,[Equipment-OR-Device-OR-ManmadeObject],
carbine,[Equipment-OR-Device-OR-ManmadeObject],
card swipe,[Equipment-OR-Device-OR-ManmadeObject],
cardphone,[Equipment-OR-Device-OR-ManmadeObject],
carpet sweeper,[Equipment-OR-Device-OR-ManmadeObject],
carriage clock,[Equipment-OR-Device-OR-ManmadeObject],
carving knife,[Equipment-OR-Device-OR-ManmadeObject],
cash dispenser,[Equipment-OR-Device-OR-ManmadeObject],
cash machine,[Equipment-OR-Device-OR-ManmadeObject],
cash register,[Equipment-OR-Device-OR-ManmadeObject],
castanets,[Equipment-OR-Device-OR-ManmadeObject],
catalytic converter,[Equipment-OR-Device-OR-ManmadeObject],
celesta,[Equipment-OR-Device-OR-ManmadeObject],
cello,[Equipment-OR-Device-OR-ManmadeObject],
cellphone,[Equipment-OR-Device-OR-ManmadeObject],
Celtic harp,[Equipment-OR-Device-OR-ManmadeObject],
cement mixer,[Equipment-OR-Device-OR-ManmadeObject],
central locking,[Equipment-OR-Device-OR-ManmadeObject],
central processing unit,[Equipment-OR-Device-OR-ManmadeObject],
centrifuge,[Equipment-OR-Device-OR-ManmadeObject],
chainsaw,[Equipment-OR-Device-OR-ManmadeObject],
chanter,[Equipment-OR-Device-OR-ManmadeObject],
chastity belt,[Equipment-OR-Device-OR-ManmadeObject],
chest freezer,[Equipment-OR-Device-OR-ManmadeObject],
chimenea,[Equipment-OR-Device-OR-ManmadeObject],
chinagraph,[Equipment-OR-Device-OR-ManmadeObject],
chisel,[Equipment-OR-Device-OR-ManmadeObject],
chronometer,[Equipment-OR-Device-OR-ManmadeObject],
cigarette lighter,[Equipment-OR-Device-OR-ManmadeObject],
cimbalom,[Equipment-OR-Device-OR-ManmadeObject],
circuit breaker,[Equipment-OR-Device-OR-ManmadeObject],
circular saw,[Equipment-OR-Device-OR-ManmadeObject],
cittern,[Equipment-OR-Device-OR-ManmadeObject],
clapperboard,[Equipment-OR-Device-OR-ManmadeObject],
clarinet,[Equipment-OR-Device-OR-ManmadeObject],
clarsach,[Equipment-OR-Device-OR-ManmadeObject],
clavichord,[Equipment-OR-Device-OR-ManmadeObject],
claw hammer,[Equipment-OR-Device-OR-ManmadeObject],
cleaver,[Equipment-OR-Device-OR-ManmadeObject],
clinometer,[Equipment-OR-Device-OR-ManmadeObject],
clobber,[Equipment-OR-Device-OR-ManmadeObject],
clock radio,[Equipment-OR-Device-OR-ManmadeObject],
clockwork,[Equipment-OR-Device-OR-ManmadeObject],
closed circuit television,[Equipment-OR-Device-OR-ManmadeObject],
coat stand,[Equipment-OR-Device-OR-ManmadeObject],
coffee maker,[Equipment-OR-Device-OR-ManmadeObject],
coin box,[Equipment-OR-Device-OR-ManmadeObject],
collider,[Equipment-OR-Device-OR-ManmadeObject],
combination lock,[Equipment-OR-Device-OR-ManmadeObject],
compressor,[Equipment-OR-Device-OR-ManmadeObject],
computer,[Equipment-OR-Device-OR-ManmadeObject],
concert grand,[Equipment-OR-Device-OR-ManmadeObject],
concertina,[Equipment-OR-Device-OR-ManmadeObject],
concrete mixer,[Equipment-OR-Device-OR-ManmadeObject],
contrabassoon,[Equipment-OR-Device-OR-ManmadeObject],
contraption,[Equipment-OR-Device-OR-ManmadeObject],
controlled economy,[Equipment-OR-Device-OR-ManmadeObject],
convector,[Equipment-OR-Device-OR-ManmadeObject],
cooker,[Equipment-OR-Device-OR-ManmadeObject],
copier,[Equipment-OR-Device-OR-ManmadeObject],
coping saw,[Equipment-OR-Device-OR-ManmadeObject],
cor anglais,[Equipment-OR-Device-OR-ManmadeObject],
corkscrew,[Equipment-OR-Device-OR-ManmadeObject],
cornetto,[Equipment-OR-Device-OR-ManmadeObject],
cotton gin,[Equipment-OR-Device-OR-ManmadeObject],
craft knife,[Equipment-OR-Device-OR-ManmadeObject],
crosse,[Equipment-OR-Device-OR-ManmadeObject],
crotales,[Equipment-OR-Device-OR-ManmadeObject],
cruise control,[Equipment-OR-Device-OR-ManmadeObject],
crumhorn,[Equipment-OR-Device-OR-ManmadeObject],
crusher,[Equipment-OR-Device-OR-ManmadeObject],
crystal set,[Equipment-OR-Device-OR-ManmadeObject],
cuckoo clock,[Equipment-OR-Device-OR-ManmadeObject],
curette,[Equipment-OR-Device-OR-ManmadeObject],
curling iron,[Equipment-OR-Device-OR-ManmadeObject],
curling tongs,[Equipment-OR-Device-OR-ManmadeObject],
cut throat razor,[Equipment-OR-Device-OR-ManmadeObject],
cyclotron,[Equipment-OR-Device-OR-ManmadeObject],
cymbal,[Equipment-OR-Device-OR-ManmadeObject],
cymbalom,[Equipment-OR-Device-OR-ManmadeObject],
D lock,[Equipment-OR-Device-OR-ManmadeObject],
dagger,[Equipment-OR-Device-OR-ManmadeObject],
data terminal,[Equipment-OR-Device-OR-ManmadeObject],
Davy lamp,[Equipment-OR-Device-OR-ManmadeObject],
deadbolt,[Equipment-OR-Device-OR-ManmadeObject],
decoder,[Equipment-OR-Device-OR-ManmadeObject],
deep freeze,[Equipment-OR-Device-OR-ManmadeObject],
defibrillator,[Equipment-OR-Device-OR-ManmadeObject],
dehumidifier,[Equipment-OR-Device-OR-ManmadeObject],
demister,[Equipment-OR-Device-OR-ManmadeObject],
Denver boot,[Equipment-OR-Device-OR-ManmadeObject],
depilator,[Equipment-OR-Device-OR-ManmadeObject],
desktop computer,[Equipment-OR-Device-OR-ManmadeObject],
detector,[Equipment-OR-Device-OR-ManmadeObject],
detonator,[Equipment-OR-Device-OR-ManmadeObject],
dialler,[Equipment-OR-Device-OR-ManmadeObject],
Dictaphone,[Equipment-OR-Device-OR-ManmadeObject],
didgeridoo,[Equipment-OR-Device-OR-ManmadeObject],
digital,[Equipment-OR-Device-OR-ManmadeObject],
diode,[Equipment-OR-Device-OR-ManmadeObject],
dip switch,[Equipment-OR-Device-OR-ManmadeObject],
dirk,[Equipment-OR-Device-OR-ManmadeObject],
disk drive,[Equipment-OR-Device-OR-ManmadeObject],
dispenser,[Equipment-OR-Device-OR-ManmadeObject],
distributed system,[Equipment-OR-Device-OR-ManmadeObject],
docking station,[Equipment-OR-Device-OR-ManmadeObject],
doorbell,[Equipment-OR-Device-OR-ManmadeObject],
dot matrix printer,[Equipment-OR-Device-OR-ManmadeObject],
double bass,[Equipment-OR-Device-OR-ManmadeObject],
double bassoon,[Equipment-OR-Device-OR-ManmadeObject],
drag lift,[Equipment-OR-Device-OR-ManmadeObject],
drain,[Equipment-OR-Device-OR-ManmadeObject],
dredger,[Equipment-OR-Device-OR-ManmadeObject],
drier,[Equipment-OR-Device-OR-ManmadeObject],
drinking fountain,[Equipment-OR-Device-OR-ManmadeObject],
driveshaft,[Equipment-OR-Device-OR-ManmadeObject],
drogue,[Equipment-OR-Device-OR-ManmadeObject],
drum kit,[Equipment-OR-Device-OR-ManmadeObject],
drum machine,[Equipment-OR-Device-OR-ManmadeObject],
drum pad,[Equipment-OR-Device-OR-ManmadeObject],
dry cell,[Equipment-OR-Device-OR-ManmadeObject],
dryer,[Equipment-OR-Device-OR-ManmadeObject],
dryer,[Equipment-OR-Device-OR-ManmadeObject],
dual controls,[Equipment-OR-Device-OR-ManmadeObject],
dumb waiter,[Equipment-OR-Device-OR-ManmadeObject],
ear trumpet,[Equipment-OR-Device-OR-ManmadeObject],
earphones,[Equipment-OR-Device-OR-ManmadeObject],
earpiece,[Equipment-OR-Device-OR-ManmadeObject],
earset,[Equipment-OR-Device-OR-ManmadeObject],
earth mover,[Equipment-OR-Device-OR-ManmadeObject],
echo sounder,[Equipment-OR-Device-OR-ManmadeObject],
egg timer,[Equipment-OR-Device-OR-ManmadeObject],
electric razor,[Equipment-OR-Device-OR-ManmadeObject],
electrometer,[Equipment-OR-Device-OR-ManmadeObject],
electron gun,[Equipment-OR-Device-OR-ManmadeObject],
electron microscope,[Equipment-OR-Device-OR-ManmadeObject],
electronic organizer,[Equipment-OR-Device-OR-ManmadeObject],
endoscope,[Equipment-OR-Device-OR-ManmadeObject],
English horn,[Equipment-OR-Device-OR-ManmadeObject],
enhancer,[Equipment-OR-Device-OR-ManmadeObject],
enlarger,[Equipment-OR-Device-OR-ManmadeObject],
Entryphone,[Equipment-OR-Device-OR-ManmadeObject],
euphonium,[Equipment-OR-Device-OR-ManmadeObject],
expert system,[Equipment-OR-Device-OR-ManmadeObject],
exposure meter,[Equipment-OR-Device-OR-ManmadeObject],
fader,[Equipment-OR-Device-OR-ManmadeObject],
fan,[Equipment-OR-Device-OR-ManmadeObject],
faucet,[Equipment-OR-Device-OR-ManmadeObject],
felt tip pen,[Equipment-OR-Device-OR-ManmadeObject],
field glasses,[Equipment-OR-Device-OR-ManmadeObject],
fife,[Equipment-OR-Device-OR-ManmadeObject],
filter,[Equipment-OR-Device-OR-ManmadeObject],
fire alarm,[Equipment-OR-Device-OR-ManmadeObject],
fire escape,[Equipment-OR-Device-OR-ManmadeObject],
fish knife,[Equipment-OR-Device-OR-ManmadeObject],
fish slice,[Equipment-OR-Device-OR-ManmadeObject],
fisheye lens,[Equipment-OR-Device-OR-ManmadeObject],
fishing tackle,[Equipment-OR-Device-OR-ManmadeObject],
fixed assets,[Equipment-OR-Device-OR-ManmadeObject],
flail,[Equipment-OR-Device-OR-ManmadeObject],
flash memory,[Equipment-OR-Device-OR-ManmadeObject],
flashbulb,[Equipment-OR-Device-OR-ManmadeObject],
flashgun,[Equipment-OR-Device-OR-ManmadeObject],
flashlight,[Equipment-OR-Device-OR-ManmadeObject],
flatbed scanner,[Equipment-OR-Device-OR-ManmadeObject],
flick knife,[Equipment-OR-Device-OR-ManmadeObject],
flight recorder,[Equipment-OR-Device-OR-ManmadeObject],
flight simulator,[Equipment-OR-Device-OR-ManmadeObject],
flip phone,[Equipment-OR-Device-OR-ManmadeObject],
floodlight,[Equipment-OR-Device-OR-ManmadeObject],
floor lamp,[Equipment-OR-Device-OR-ManmadeObject],
