Term,Expansion,,ExpansionPrev,,,,Expansion,,,,,,,,,,,,,,,,,
1pt,[Abbreviation],,[ABBREVIATION],,,,[Abbreviation],sc,,Expansion,Expansion,,,,Expansion,,,,,,amaryllis,[OrganicPart_Plant],,[OrganicPart_Plant]
aka,[Abbreviation],,[ABBREVIATION],,,,[Activity-Procedure],peeled and deveined, m,[Abbreviation],[Abbreviation],,[ABBREVIATION],,[ABBREVIATION],,,,,,aniseed,[OrganicPart_Plant],,[OrganicPart_Plant]
BB,[Abbreviation],,[ABBREVIATION],,,,[Additional-Different],,m,[Activity-Procedure],[Activity-Procedure],,[Area-OR-RelativeLocation_Hole],,[ACTIVITY],,,,,,anther,[OrganicPart_Plant],,[OrganicPart_Plant]
bby,[Abbreviation],,[ABBREVIATION],,[Abbreviation],34,[LocationContextual],,,[Additional-Different],[Area-OR-RelativeLocation],,[BodyOfWater],,[Area],,,,,,Arborio,[OrganicPart_Plant],,[OrganicPart_Plant]
bnl,[Abbreviation],,[ABBREVIATION],,[Activity-Procedure],31,[BodyPart-OR-OrganicPart],,,[Area-OR-RelativeLocation],[BodyPart-OR-OrganicPart],,[Body-OR-OrganicPart],,[Area-OR-RelativeLocation_Hole],,,,,,basmati,[OrganicPart_Plant],,[OrganicPart_Plant]
bott,[Abbreviation],,[ABBREVIATION],,[LocationContextual],116,[Cardinal-Ordinal],,m,[BodyPart-OR-OrganicPart],[Cardinal-Ordinal],,[QUALITY-COLOR],,[Area-OR-RelativeLocation_Material],,,,,,bay leaf,[OrganicPart_Plant],,[OrganicPart_Plant]
brie,[Abbreviation],,[ABBREVIATION],,[Cardinal-Ordinal],110,[Conjunction-Contrast],,m,[Cardinal-Ordinal],[Container],,[DeadBody],,[Area-OR-SubstanceOrMaterial_Natural-OR-Container],,,,,,bean sprouts,[OrganicPart_Plant],,[OrganicPart_Plant]
cc1,[Abbreviation],,[ABBREVIATION],,[BodyPart-OR-OrganicPart],355,[Container-Or-Receptacle-Or-Enclosure],,,[Conjunction-Contrast],[DeadBody],,[TimeInterval],,[BodyOfWater],,,,,,beanstalk,[OrganicPart_Plant],,[OrganicPart_Plant]
CC2,[Abbreviation],,[ABBREVIATION],,,,[CoordConjunction-Addition],,m,[Container],[EarthRelated],,[Equipment-OR-Artifact],,[Body-OR-OrganicPart],,,,,,betel,[OrganicPart_Plant],,[OrganicPart_Plant]
da,[Abbreviation],,[ABBREVIATION],,,,[CoordConjunction-Alternative],,,[CoordConjunction-Addition],[Equipment-OR-Device-OR-ManmadeObject],,[Furniture-OR-Artifact],,[BodyPart],,,,,,bhang,[OrganicPart_Plant],,[OrganicPart_Plant]
equu,[Abbreviation],,[ABBREVIATION],,,,[CoordConjunction-Contrast],,,[CoordConjunction-Alternative],[FoodPortion],,[GeographicArea-OR-ManMadeArea],,[BodyPart_Animal],,,,,,birdseed,[OrganicPart_Plant],,[OrganicPart_Plant]
ga,[Abbreviation],,[ABBREVIATION],,,,[CoordConjunction-Effect],,,[CoordConjunction-Contrast],[Furniture],,[Quality],,[BodyPart_Animal-OR-ArtifactPart-OR-Artifact],,,,,,blossom,[OrganicPart_Plant],,[OrganicPart_Plant]
grd,[Abbreviation],,[ABBREVIATION],,,,[CoordConjunction-Purpose],,,[CoordConjunction-Effect],[GeoEntity],,[GEO-QUALITY],,[BodyPart_Animal-OR-Equipment-OR-Material],,,,,,bole,[OrganicPart_Plant],,[OrganicPart_Plant]
hircu,[Abbreviation],,[ABBREVIATION],,,,[DeadBody],,,[CoordConjunction-Purpose],[GeoEntity-OR-Structure-OR-Area],,[Structure-OR-Artifact],,[BodyPart_Person],,,,,,boutonni̬re,[OrganicPart_Plant],,[OrganicPart_Plant]
illex,[Abbreviation],,[ABBREVIATION],,,,[EarthRelated],,,[DeadBody],[GeographicArea-OR-Related],,[UnitOfVolume],,[BodyPart_Person-OR-BodyPart],,,,,,brown rice,[OrganicPart_Plant],,[OrganicPart_Plant]
